date,United States
1/1/89,1.84
4/1/89,1.85
7/1/89,1.87
10/1/89,1.88
1/1/90,1.85
4/1/90,1.84
7/1/90,1.82
10/1/90,1.79
1/1/91,1.85
4/1/91,1.9
7/1/91,1.9
10/1/91,1.89
1/1/92,1.88
4/1/92,1.84
7/1/92,1.82
10/1/92,1.85
1/1/93,1.82
4/1/93,1.85
7/1/93,1.86
10/1/93,1.88
1/1/94,1.88
4/1/94,1.87
7/1/94,1.86
10/1/94,1.84
1/1/95,1.8
4/1/95,1.81
7/1/95,1.86
10/1/95,1.85
1/1/96,1.86
4/1/96,1.84
7/1/96,1.83
10/1/96,1.83
1/1/97,1.84
4/1/97,1.85
7/1/97,1.85
10/1/97,1.85
1/1/98,1.84
4/1/98,1.84
7/1/98,1.83
10/1/98,1.84
1/1/99,1.85
4/1/99,1.85
7/1/99,1.84
10/1/99,1.82
1/1/00,1.8
4/1/00,1.78
7/1/00,1.8
10/1/00,1.79
1/1/01,1.79
4/1/01,1.82
7/1/01,1.86
10/1/01,1.88
1/1/02,1.94
4/1/02,1.94
7/1/02,1.96
10/1/02,2.01
1/1/03,2.03
4/1/03,2.04
7/1/03,2.07
10/1/03,2.07
1/1/04,2.1
4/1/04,2.11
7/1/04,2.12
10/1/04,2.14
1/1/05,2.2
4/1/05,2.29
7/1/05,2.32
10/1/05,2.33
1/1/06,2.25
4/1/06,2.22
7/1/06,2.16
10/1/06,2.15
1/1/07,2.13
4/1/07,2.09
7/1/07,2.03
10/1/07,1.95
1/1/08,1.91
4/1/08,1.85
7/1/08,1.79
10/1/08,1.7
1/1/09,1.69
4/1/09,1.63
7/1/09,1.66
10/1/09,1.65
1/1/10,1.67
4/1/10,1.63
7/1/10,1.61
10/1/10,1.6
1/1/11,1.52
4/1/11,1.47
7/1/11,1.45
10/1/11,1.47
1/1/12,1.48
4/1/12,1.53
7/1/12,1.55
10/1/12,1.54
1/1/13,1.61
4/1/13,1.68
7/1/13,1.69
10/1/13,1.68
1/1/14,1.7
