year,max_4yr_public,max_4yr_private
1976,0.72,0.35
1977,0.69,0.33
1978,0.75,0.35
1979,0.77,0.36
1980,0.69,0.31
1981,0.58,0.26
1982,0.56,0.25
1983,0.52,0.23
1984,0.52,0.22
1985,0.54,0.21
1986,0.51,0.21
1987,0.48,0.20
1988,0.47,0.19
1989,0.46,0.19
1990,0.44,0.17
1991,0.42,0.17
1992,0.40,0.16
1993,0.36,0.14
1994,0.34,0.14
1995,0.33,0.13
1996,0.33,0.13
1997,0.36,0.14
1998,0.39,0.15
1999,0.39,0.15
2000,0.39,0.15
2001,0.42,0.16
2002,0.41,0.16
2003,0.38,0.16
2004,0.36,0.15
2005,0.33,0.14
2006,0.32,0.13
2007,0.32,0.13
2008,0.33,0.14
2009,0.35,0.15
2010,0.34,0.15
2011,0.32,0.15
2012,0.31,0.14
2013,0.31,0.14
