yr,Agriculture And Natural Resources,Architecture And Related Services,"Area, Ethnic, Cultural, And Gender Studies",Biological And Biomedical Sciences,Business,"Communication, Journalism, And Related Programs",Communications Technologies,Computer And Information Sciences,Education,Engineering,Engineering Technologies,English Language And Literature/Letters,Family And Consumer Sciences/Human Sciences,"Foreign Languages, Literatures, And Linguistics",Health Professions And Related Clinical Sciences,Legal Professions And Studies,"Liberal Arts And Sciences, General Studies,
 And Humanities",Library Science,Mathematics And Statistics,Military Technologies,Multi/Interdisciplinary Studies,"Parks, Recreation, Leisure, And Fitness Studies",Philosophy And Religious Studies,Physical Sciences And Science Technologies,Precision Production,Psychology,Public Administration And Social Services,Security And Protective Services,Social Sciences And History,Theology And Religious Vocations,Transportation And Materials Moving,Visual And Performing Arts,Not Classified By Field Of Study,Mechanics And Repair Technologies,Construction Trades
1971,0.015,0.007,0.003,0.043,0.137,0.012,0.001,0.003,0.210,0.054,0.006,0.076,0.013,0.025,0.030,0.001,0.009,0.001,0.030,0.000,0.008,0.002,0.010,0.025,0.000,0.045,0.007,0.002,0.185,0.004,0.000,0.036,0.000,0.000,0.000
1972,0.015,0.007,0.003,0.042,0.137,0.013,0.001,0.004,0.215,0.051,0.007,0.072,0.014,0.022,0.032,0.001,0.011,0.001,0.027,0.000,0.008,0.002,0.010,0.023,0.000,0.049,0.008,0.003,0.178,0.004,0.000,0.038,0.000,0.000,0.000
1973,0.016,0.008,0.004,0.046,0.137,0.015,0.000,0.005,0.210,0.050,0.005,0.066,0.015,0.022,0.036,0.001,0.012,0.001,0.025,0.000,0.010,0.003,0.010,0.022,0.000,0.052,0.012,0.005,0.169,0.004,0.000,0.039,0.000,0.000,0.000
1974,0.017,0.008,0.004,0.051,0.140,0.017,0.001,0.005,0.196,0.045,0.008,0.057,0.016,0.021,0.044,0.001,0.014,0.001,0.023,0.000,0.012,0.004,0.010,0.022,0.000,0.055,0.013,0.009,0.159,0.004,0.000,0.042,0.000,0.000,0.000
1975,0.019,0.009,0.004,0.056,0.145,0.020,0.001,0.005,0.181,0.043,0.008,0.051,0.018,0.021,0.053,0.000,0.018,0.001,0.020,0.000,0.013,0.005,0.010,0.023,0.000,0.056,0.015,0.011,0.146,0.005,0.000,0.044,0.000,0.000,0.000
1976,0.021,0.010,0.004,0.058,0.155,0.022,0.001,0.006,0.167,0.042,0.009,0.045,0.019,0.018,0.058,0.001,0.020,0.001,0.017,0.001,0.015,0.006,0.009,0.023,0.000,0.054,0.017,0.014,0.137,0.006,0.000,0.046,0.000,0.000,0.000
1977,0.023,0.010,0.004,0.058,0.165,0.024,0.002,0.007,0.156,0.045,0.009,0.041,0.019,0.017,0.062,0.001,0.022,0.001,0.015,0.001,0.015,0.006,0.009,0.024,0.000,0.052,0.018,0.016,0.127,0.007,0.000,0.045,0.000,0.000,0.000
1978,0.025,0.010,0.004,0.056,0.175,0.026,0.002,0.008,0.147,0.051,0.010,0.038,0.019,0.016,0.065,0.001,0.026,0.001,0.014,0.000,0.013,0.006,0.009,0.025,0.000,0.049,0.018,0.016,0.123,0.007,0.000,0.044,0.000,0.000,0.000
1979,0.025,0.010,0.003,0.053,0.187,0.027,0.002,0.009,0.137,0.058,0.010,0.036,0.020,0.014,0.067,0.001,0.025,0.001,0.013,0.000,0.013,0.006,0.008,0.025,0.000,0.046,0.019,0.016,0.117,0.007,0.000,0.044,0.000,0.000,0.000
1980,0.025,0.010,0.003,0.050,0.200,0.029,0.002,0.012,0.127,0.063,0.011,0.035,0.020,0.013,0.069,0.001,0.025,0.000,0.012,0.000,0.012,0.006,0.008,0.025,0.000,0.045,0.018,0.016,0.112,0.007,0.000,0.044,0.000,0.000,0.000
1981,0.023,0.010,0.003,0.046,0.214,0.031,0.002,0.016,0.116,0.068,0.013,0.034,0.020,0.012,0.068,0.001,0.023,0.000,0.012,0.000,0.014,0.006,0.007,0.026,0.000,0.044,0.018,0.015,0.107,0.006,0.000,0.043,0.000,0.000,0.000
1982,0.022,0.010,0.003,0.044,0.226,0.034,0.002,0.021,0.106,0.071,0.014,0.035,0.019,0.012,0.067,0.001,0.022,0.000,0.012,0.000,0.016,0.006,0.007,0.025,0.000,0.043,0.017,0.013,0.105,0.006,0.000,0.042,0.000,0.000,0.000
1983,0.022,0.010,0.003,0.041,0.234,0.038,0.002,0.025,0.101,0.075,0.018,0.032,0.016,0.012,0.068,0.001,0.022,0.000,0.013,0.000,0.015,0.005,0.007,0.024,0.000,0.042,0.015,0.013,0.098,0.006,0.002,0.041,0.000,0.000,0.000
