yr,Agriculture,Architecture,Art And Performance,Biology,Business,Chemistry,Communications And Journalism,Computer Science,Consumer Sciences,Criminal Justice,Cultural And Gender Studies,Economics,Education,Engineering,English,Fitness Studies,Foreign Languages,Geology And Earth Sciences,Health Professions,History,Humanities,Interdisciplinary,Legal Studies,Library Science,Math And Stats,Microbiology,Other,Philosophy,Physics,Political Science,Psychology,Public Administration,Sociology,Theology,Zoology
1970,0.016,0.007,0.038,0.033,0.144,0.014,0.013,0.003,0.014,0.003,0.003,0.020,0.220,0.056,0.080,0.002,0.026,0.004,0.031,0.056,0.009,0.008,0.001,0.001,0.031,0.002,0.007,0.010,0.006,0.034,0.048,0.007,0.042,0.005,0.007
1971,0.0160,0.0076,0.0399,0.0324,0.1439,0.0125,0.0140,0.0040,0.0143,0.0034,0.0036,0.0180,0.2254,0.0537,0.0752,0.0026,0.0235,0.0044,0.0338,0.0516,0.0112,0.0081,0.0006,0.0012,0.0280,0.0018,0.0078,0.0101,0.0055,0.0332,0.0513,0.0089,0.0416,0.0045,0.0065
1972,0.0167,0.0079,0.0408,0.0354,0.1436,0.0115,0.0158,0.0049,0.0153,0.0050,0.0040,0.0167,0.2199,0.0527,0.0687,0.0031,0.0229,0.0047,0.0380,0.0464,0.0121,0.0109,0.0005,0.0013,0.0261,0.0022,0.0062,0.0104,0.0048,0.0341,0.0543,0.0121,0.0402,0.0040,0.0065
1973,0.0179,0.0086,0.0438,0.0399,0.1458,0.0115,0.0179,0.0052,0.0169,0.0091,0.0041,0.0157,0.2038,0.0474,0.0597,0.0041,0.0223,0.0050,0.0457,0.0408,0.0145,0.0127,0.0005,0.0013,0.0238,0.0025,0.0095,0.0104,0.0044,0.0339,0.0575,0.0132,0.0391,0.0046,0.0068
1974,0.0197,0.0093,0.0459,0.0436,0.1505,0.0119,0.0204,0.0057,0.0189,0.0112,0.0040,0.0158,0.1878,0.0447,0.0530,0.0051,0.0215,0.0051,0.0552,0.0354,0.0186,0.0133,0.0005,0.0012,0.0205,0.0031,0.0100,0.0101,0.0042,0.0328,0.0577,0.0154,0.0355,0.0054,0.0069
1975,0.0218,0.0103,0.0473,0.0451,0.1606,0.0124,0.0225,0.0063,0.0195,0.0140,0.0040,0.0165,0.1733,0.0435,0.0465,0.0058,0.0192,0.0052,0.0605,0.0319,0.0212,0.0154,0.0006,0.0009,0.0179,0.0033,0.0116,0.0095,0.0040,0.0318,0.0564,0.0173,0.0310,0.0062,0.0068
1976,0.0242,0.0104,0.0472,0.0446,0.1715,0.0126,0.0245,0.0072,0.0197,0.0164,0.0039,0.0173,0.1616,0.0464,0.0421,0.0062,0.0175,0.0060,0.0646,0.0287,0.0231,0.0153,0.0006,0.0009,0.0160,0.0033,0.0122,0.0092,0.0039,0.0298,0.0540,0.0182,0.0279,0.0068,0.0063
1977,0.0255,0.0104,0.0462,0.0424,0.1812,0.0127,0.0269,0.0081,0.0199,0.0168,0.0037,0.0177,0.1531,0.0534,0.0392,0.0063,0.0162,0.0064,0.0670,0.0259,0.0265,0.0138,0.0007,0.0008,0.0142,0.0030,0.0121,0.0089,0.0038,0.0294,0.0506,0.0187,0.0256,0.0071,0.0057
1978,0.0260,0.0104,0.0461,0.0405,0.1940,0.0129,0.0280,0.0098,0.0206,0.0167,0.0034,0.0185,0.1416,0.0602,0.0374,0.0067,0.0149,0.0065,0.0699,0.0237,0.0256,0.0130,0.0008,0.0006,0.0133,0.0030,0.0127,0.0083,0.0038,0.0288,0.0480,0.0195,0.0228,0.0068,0.0053
1979,0.0254,0.0102,0.0455,0.0373,0.2073,0.0125,0.0300,0.0124,0.0205,0.0167,0.0032,0.0199,0.1314,0.0656,0.0358,0.0064,0.0139,0.0064,0.0711,0.0215,0.0258,0.0127,0.0008,0.0004,0.0127,0.0029,0.0138,0.0079,0.0038,0.0283,0.0469,0.0185,0.0210,0.0069,0.0048
