year,amt
1959,1.234
1960,0.995
1961,0.974
1962,0.991
1963,1.012
1964,0.971
1965,0.964
1966,0.779
1967,0.844
1968,0.899
1969,0.811
1970,0.813
1971,1.151
1972,1.309
1973,1.132
1974,0.888
1975,0.892
1976,1.162
1977,1.451
1978,1.433
1979,1.194
1980,0.852
1981,0.705
1982,0.663
1983,1.068
1984,1.084
1985,1.072
1986,1.179
1987,1.146
1988,1.081
1989,1.003
1990,0.895
1991,0.840
1992,1.030
1993,1.126
1994,1.198
1995,1.076
1996,1.161
1997,1.134
1998,1.271
1999,1.302
2000,1.231
2001,1.273
2002,1.359
2003,1.499
2004,1.611
2005,1.716
2006,1.465
2007,1.046
2008,0.622
2009,0.445
2010,0.471
2011,0.431
2012,0.535
2013,0.618
