Food At Home,Food Away From Home,Food For Work,Rent,Clothes,Health And Beauty,Jewerly,Tailor,Utilities,Car Service,Gasoline,Tolls,Auto Insurance,Mass Transit,Other Trans,Tobacco,Alcohol,Night Clubs,Domestic Services,Airfare,Entertainment And Gambling,Charity,Non Durables,Non Durable Without Housing,age
1969.98,947.7629,74.64071,4451.253,695.2286,162.1942,81.4637,140.9667,1045.057,408.2407,946.7382,6.436324,687.9362,60.77111,28.38513,370.296,157.7375,260.8487,174.5451,195.215,643.9338,166.9396,9225.316,13676.57,25
1979.479,943.3345,68.3766,4388.628,686.0732,155.6798,82.68668,141.1785,1104.176,415.5935,897.8199,6.40982,592.967,62.11187,24.02667,388.7535,145.9302,214.0716,170.2698,165.51,562.1486,217.715,9024.312,13412.94,26
2011.584,976.871,40.36496,4318.966,668.7645,159.6975,85.34434,128.6838,1107.523,444.7725,919.4915,6.743758,571.3586,32.66301,26.1873,452.0337,164.6632,253.4341,238.3007,212.4985,570.7553,212.1835,9283.919,13602.88,27
2147.359,902.9066,58.94278,4635.056,705.4714,167.425,117.6,141.7012,1166.848,440.5567,906.0056,5.329524,602.0941,57.43822,42.33733,393.2531,154.1259,234.1674,229.7355,216.0186,621.0973,195.4267,9505.84,14140.9,28
2131.144,966.3008,42.28257,4838.597,716.1453,169.0854,87.04753,124.6754,1215.76,520.2936,890.5558,5.593913,623.314,48.3681,29.49971,401.1339,147.2189,206.717,255.3024,219.0885,645.6256,244.4781,9689.63,14528.23,29
2174.15,1039.663,37.56607,5096.841,766.9553,190.0533,118.1132,149.7024,1251.92,522.6507,937.2859,4.475771,591.7123,49.0625,35.17215,382.2945,158.6889,208.3888,296.8651,207.1805,698.1387,234.9826,10055.02,15151.86,30
2280.194,970.4092,24.84575,5047.916,767.5507,172.5993,101.5049,126.0856,1295.07,462.2162,869.5956,4.55688,542.2256,66.02628,49.62555,381.2603,156.5573,193.3726,315.3083,207.8656,665.2,268.3527,9920.422,14968.34,31
2316.602,1047.079,48.95004,5463.576,804.9473,188.2452,100.7982,131.6487,1322.311,539.0228,894.1141,4.540031,547.5649,64.21407,48.01214,341.5822,156.4969,203.2513,346.2696,260.9508,753.4769,261.8274,10381.91,15845.48,32
2254.59,984.8343,24.15556,5366.435,791.8192,185.6272,102.7805,130.3505,1382.711,554.1335,911.5349,5.080788,606.7038,58.4353,42.70544,364.2242,152.7907,161.9533,337.6958,192.6515,748.8916,286.5642,10280.23,15646.67,33
2423.16,984.6349,24.99529,5440.373,781.5566,184.9304,92.64434,121.3571,1372.07,554.2188,896.0133,4.841487,589.2025,46.82956,40.56687,357.982,139.86,159.4852,346.7465,201.1476,761.5614,252.8914,10336.7,15777.07,34
2424.222,957.6128,24.47137,5468.058,765.3926,178.416,87.94387,106.8629,1429.011,553.1785,922.5669,5.353154,558.6785,37.20654,37.4964,338.1235,129.6423,144.331,342.9222,181.2288,760.6323,335.5081,10320.8,15788.86,35
2442.883,900.3391,22.13157,5418.172,777.1631,179.7933,84.94735,102.7678,1396.312,513.1219,899.3837,4.675363,534.077,53.25759,31.93541,352.3574,136.8778,121.8666,348.9832,178.6663,759.7622,312.542,10153.84,15572.02,36
2443.301,983.5396,20.43952,5404.938,797.4602,183.1858,95.88604,114.8315,1422.252,525.371,941.2578,4.434307,575.2123,48.78973,42.85174,369.2998,137.7851,142.05,354.7933,182.7089,773.8924,357.968,10517.31,15922.25,37
2546.893,990.0303,23.72564,5561.542,813.9716,191.1749,98.32142,101.5517,1442.714,523.197,934.8395,3.68146,565.9185,53.4999,48.18001,389.6815,132.7324,116.9573,367.5227,220.9192,801.2348,348.0368,10714.78,16276.33,38
2558.285,982.4446,18.75276,5421.126,810.2636,186.0838,105.8118,101.6302,1494.132,534.1204,949.5821,3.754965,582.5266,53.14864,55.4885,354.6521,127.1475,117.5263,337.8117,195.8465,777.5625,379.3779,10725.95,16147.08,39
