age,foodin,foodout_real,foodwork_real,rent,clothes_real,hlthbeau_real,jewelry_real,tailors_real,utility,transport,alc_tob,domestic_svcs,ent,airfare_real,other_nd
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1.004821876,0.995327523,0.916076495,0.985930928,0.986831094,0.959835802,1.015012576,1.001502483,1.05657012,0.934730663,0.949134484,0.975506044,0.872991292,0.847834439,1.058180678
27,1.021118996,1.030712428,0.54079014,0.970280952,0.961934679,0.984606725,1.047636432,0.912866656,1.059772816,0.935800567,1.102992183,1.3652672,0.886357107,1.088535717,1.172653889
28,1.090041016,0.952671391,0.789686754,1.041292418,1.014732996,1.032250228,1.443587757,1.00521045,1.116540055,0.960370969,0.99070102,1.316195642,0.964535951,1.106567631,1.136104029
29,1.081809968,1.019559639,0.566481348,1.087019093,1.030086075,1.042487339,1.068543781,0.884431571,1.163343243,0.990234781,0.957138848,1.462672971,1.002627289,1.122293369,1.280024332
30,1.103640646,1.096965285,0.50329197,1.145035117,1.10316995,1.171763849,1.449887496,1.061969955,1.197944227,1.000865557,0.949916477,1.70079309,1.084177752,1.061293958,1.220923606
31,1.157470634,1.023894478,0.332871298,1.13404383,1.104026359,1.064152109,1.246013869,0.894435352,1.239233841,0.932540818,0.926868676,1.806457471,1.033025445,1.064803422,1.314958584
32,1.17595204,1.104790027,0.655808874,1.227424278,1.157816724,1.160616101,1.237338839,0.933899283,1.265300362,0.98080905,0.889017777,1.98384028,1.169780185,1.336735394,1.444118341
33,1.144473548,1.039114635,0.323624467,1.205600985,1.138933582,1.144474957,1.261672377,0.924690015,1.323096252,1.018744845,0.860671086,1.934719451,1.160177024,0.986868325,1.328244899
34,1.230042945,1.038904245,0.334874762,1.222211589,1.124172107,1.140178872,1.137246896,0.86089197,1.312914032,0.996803846,0.833238727,1.986572525,1.175499407,1.030390083,1.26646631
35,1.230582036,1.010392789,0.327855536,1.228431186,1.1009222,1.100014674,1.079546718,0.758071942,1.367400056,0.988764129,0.775904058,1.964662428,1.176180378,0.928354891,1.435814705
36,1.240054721,0.94996238,0.296508032,1.217224004,1.117852603,1.108506346,1.042763218,0.729021819,1.336110853,0.95227654,0.774642779,1.999386978,1.175535746,0.915228338,1.364067445
37,1.240266906,1.037748576,0.273838767,1.214250909,1.14704746,1.12942263,1.17704008,0.814600186,1.360932466,0.999723639,0.822854033,2.032674077,1.190828312,0.935936788,1.512488589
38,1.292852212,1.044597019,0.317864608,1.249432912,1.170797059,1.178679016,1.206935359,0.720394959,1.380512259,0.995701676,0.81047728,2.105603079,1.237687942,1.131671234,1.582754161
39,1.298635012,1.036593224,0.251240375,1.217887637,1.165463561,1.1472901,1.298882815,0.720951828,1.429713403,1.01875747,0.759715329,1.935383462,1.197055194,1.003234895,1.606945211
40,1.353654859,1.098211378,0.237163339,1.277986895,1.237313453,1.280376857,1.239506676,0.747570171,1.450036697,1.065038335,0.838959733,2.061535385,1.288855935,1.107299132,1.742040002
41,1.376489101,1.121024045,0.277315154,1.318612759,1.258045195,1.271898749,1.363834444,0.784380992,1.481966055,1.092159113,0.78364387,2.113846794,1.354107984,1.108818994,1.795173111
42,1.339775531,1.12678709,0.148430662,1.305561153,1.303948227,1.220255718,1.221114558,0.757449809,1.52624498,1.126962349,0.8094353,2.106974644,1.350913091,1.038964731,1.769106619
43,1.380909451,1.205378476,0.202008931,1.368717078,1.315427329,1.316661755,1.156683897,0.761604691,1.5528464,1.160050839,0.788136049,2.259637767,1.397607332,1.054828266,1.718091666
