elasticity,t-statistic,SE,1/SE,studyid,authorid,level
-19.306,-5.71,3.3812,0.29575,48,37,0
-18.017,-6.385,2.822,0.35436,48,37,0
-13.034,-3.968,3.285,0.30441,48,37,0
-11.014,-3.281,3.3567,0.29791,48,37,0
-10.923,-4,2.7306,0.36621,48,37,0
-9.584,-2.968,3.2293,0.30966,48,37,0
-9.292,-5.235,1.7749,0.5634,48,37,0
-8.684,-2.211,3.9287,0.25454,48,37,0
-7.122,-3.45,2.0644,0.4844,48,37,0
-6.668,-2.167,3.0775,0.32494,48,37,0
-6.579,-2.667,2.467,0.40536,48,37,0
-4.884,-1.92,2.5439,0.3931,48,37,0
-4.036,-3.21,1.2573,0.79534,39,11,0
-4.01,-0.791,5.07,0.19724,14,17,0
-3.21,-3.13,1.0256,0.975,60,46,0
-2.66,-3.202,0.8307,1.20377,45,34,0
-2.382,-2.45,0.9722,1.02855,39,11,0
-2.38,-2.27,1.0486,0.95369,60,46,0
-2.072,-2.3,0.901,1.11004,5,6,0
-1.88,-1.664,1.13,0.88496,14,17,0
-1.79,-0.51,3.51,0.2849,14,17,0
-1.753,-0.446,3.9313,0.25437,42,17,0
-1.7,-2.9,0.586,1.70588,5,6,0
-1.682,-2.72,0.6185,1.6169,60,46,0
-1.5,-2.444,0.6136,1.62963,12,2,0
-1.5,-3.1,0.4839,2.06667,63,48,0
-1.457,-3.893,0.3742,2.67215,38,31,0
-1.349,-2.71,0.4978,2.0089,39,11,0
-1.339,-2.51,0.5335,1.87453,67,27,0
-1.29,-6.45,0.2,5,14,17,0
-1.274,,,,59,2,0
-1.24,-3.4,0.3647,2.74194,63,48,0
-1.183,-7.042,0.168,5.95238,33,22,0
-1.168,-4.98,0.2345,4.26366,60,46,0
-1.155,-5.851,0.1974,5.06586,33,22,0
-1.135,-2.3,0.4934,2.02686,5,6,0
-1.131,-6.786,0.1667,5.9988,33,22,0
-1.086,-6.557,0.1656,6.03865,33,22,0
-1.086,-6.947,0.1563,6.39795,33,22,0
-1.03,-2.64,0.3902,2.56311,63,48,0
-1.02,-2.69,0.3792,2.63725,65,8,0
-1,-2.75,0.3636,2.75,12,15,0
-1,-2.75,0.3636,2.75,12,15,0
-0.986,-3.52,0.28,3.57153,60,46,0
-0.962,-6.589,0.146,6.84932,47,36,0
-0.96,-2.97,0.3232,3.09375,63,48,0
-0.949,-3.22,0.2946,3.39443,60,46,0
-0.946,-6.662,0.142,7.04225,47,36,0
-0.916,-6.686,0.137,7.29927,47,36,0
-0.915,-2.824,0.324,3.08642,25,24,0
-0.91,-4.18,0.2177,4.59341,52,40,0
-0.909,-2.244,0.4052,2.4681,51,31,0
-0.902,-10.738,0.084,11.90476,47,36,0
-0.9,-11.25,0.08,12.5,14,17,0
-0.9,-3.333,0.27,3.7037,12,15,0
-0.898,-2.297,0.391,2.55754,47,36,0
-0.892,-1.81,0.4929,2.02864,60,46,0
-0.882,-1.862,0.4738,2.11039,51,31,0
-0.879,-6.609,0.133,7.5188,47,36,0
-0.879,-18.923,0.0464,21.53846,32,39,0
-0.869,-7.69,0.113,8.84956,47,36,0
-0.857,-3.923,0.2185,4.57769,22,23,0
-0.852,-5.435,0.1568,6.37885,22,23,0
-0.846,-7.744,0.1092,9.15388,22,23,0
-0.841,-4.262,0.1974,5.06586,33,22,0
-0.84,-2.84,0.2958,3.38095,63,48,0
-0.825,-7.174,0.115,8.69565,47,36,0
-0.814,-2,0.407,2.457,5,6,0
-0.813,-0.88,0.9236,1.0827,60,46,0
-0.81,-8.1,0.1,10,14,17,0
-0.809,-4.963,0.163,6.13497,32,39,0
-0.802,-2.19,0.3664,2.72943,60,46,0
-0.8,-6.667,0.12,8.33333,14,17,0
-0.796,-2.148,0.3704,2.6999,38,31,0
-0.791,-2.113,0.3742,2.67215,38,31,0
-0.79,-3.84,0.2057,4.86076,52,40,0
-0.788,-8.589,0.0917,10.90513,33,22,0
-0.763,-3.427,0.2227,4.49035,33,22,0
-0.759,-1.941,0.3909,2.5582,57,44,0
-0.75,-2.24,0.3348,2.98667,65,8,0
-0.745,-8.023,0.0928,10.77586,33,22,0
-0.735,-7.136,0.103,9.70874,47,36,0
-0.734,-3.321,0.221,4.52489,47,36,0
-0.718,-5.4,0.1329,7.52239,32,39,0
-0.7,-10.316,0.0679,14.73684,32,39,0
-0.697,-4.556,0.153,6.53595,32,39,0
-0.692,-3.977,0.174,5.74713,25,24,0
-0.69,-2.96,0.2331,4.28986,65,8,0
-0.685,-4.531,0.1512,6.61376,33,22,0
-0.682,-8.17,0.0835,11.97605,33,22,0
-0.677,-1.36,0.4979,2.00827,31,26,0
-0.672,-3.1,0.2168,4.6131,3,4,0
-0.669,-4.308,0.1552,6.4433,33,22,0
-0.667,-3.9,0.1709,5.85,46,35,0
-0.661,-9.25,0.0714,14,32,39,0
-0.657,-1.28,0.5134,1.94766,31,26,0
-0.646,-4.526,0.1427,7.00771,33,22,0
-0.644,-7.673,0.0839,11.91895,33,22,0
-0.644,-1.24,0.5197,1.92427,31,26,0
-0.64,-1.34,0.4776,2.09375,9,12,0
-0.636,-6.523,0.0975,10.25641,57,44,0
-0.627,-6.813,0.092,10.86957,33,22,0
-0.624,-6.789,0.0919,10.88139,33,22,0
-0.623,-8.71,0.0715,13.98022,22,23,0
-0.621,-8.406,0.0739,13.53663,22,23,0
-0.621,-4.231,0.1468,6.81199,33,22,0
-0.62,-1.378,0.45,2.22222,14,17,0
-0.61,-1.924,0.3169,3.15534,38,31,0
-0.609,-5.513,0.1105,9.05106,51,31,0
-0.608,-4.135,0.1471,6.7981,33,22,0
-0.603,-2.393,0.252,3.96825,25,24,0
-0.6,-12.47,0.0481,20.78333,44,33,0
-0.592,-6.868,0.0862,11.60206,22,23,0
-0.59,-2.12,0.2783,3.59322,65,8,0
-0.59,-2.458,0.24,4.16667,14,17,0
-0.589,-3.677,0.1603,6.2383,33,22,0
-0.581,-4.379,0.1326,7.53874,28,25,0
-0.578,-2.719,0.2127,4.70149,32,39,0
-0.577,-4.608,0.1253,7.98085,33,22,0
-0.577,-3.766,0.1533,6.52316,33,22,0
-0.577,-5.312,0.1086,9.2081,33,22,0
-0.576,-6.325,0.0911,10.9809,22,23,0
-0.574,-13.292,0.0432,23.15621,24,23,0
-0.57,-4.34,0.1313,7.61404,66,8,0
-0.568,-7.688,0.0739,13.53433,22,23,0
-0.566,-7.455,0.0759,13.17058,22,23,0
-0.562,-9.043,0.0621,16.10306,33,22,0
-0.562,-4.28,0.1312,7.62195,33,22,0
-0.556,-1.049,0.5304,1.88533,51,31,0
-0.555,-3.517,0.1579,6.33312,33,22,0
-0.552,-5,0.1104,9.05797,22,23,0
-0.549,-8.727,0.0629,15.89825,33,22,0
-0.547,-13.196,0.0415,24.12368,24,23,0
-0.538,-3.401,0.1583,6.31712,33,22,0
-0.535,-4.51,0.1187,8.42718,28,25,0
-0.53,-1.66,0.3193,3.13208,66,8,0
-0.53,-5.354,0.099,10.10101,32,39,0
-0.527,-5.08,0.1037,9.6432,33,22,0
-0.524,-6.25,0.0838,11.92748,22,23,0
-0.52,-3.32,0.1566,6.38462,66,8,0
-0.517,-2.06,0.251,3.98406,25,24,0
-0.514,-2.2,0.2336,4.28016,3,4,0
-0.513,-6.111,0.0839,11.9125,22,23,0
-0.502,-3.438,0.146,6.84932,32,39,0
-0.502,-4.833,0.1039,9.62815,21,23,0
-0.501,-9.283,0.054,18.52961,24,23,0
-0.5,-7.03,0.0711,14.0647,1,1,0
-0.5,-1.5,0.3333,3,12,15,0
-0.5,-5.28,0.0947,10.55966,1,1,0
-0.487,-4.976,0.0979,10.21805,22,23,0
-0.486,-5.095,0.0954,10.48403,22,23,0
-0.484,-3.962,0.1221,8.19001,33,22,0
-0.484,-4.287,0.1129,8.8574,33,22,0
-0.481,-9.368,0.0513,19.47697,24,23,0
-0.481,-4.435,0.1085,9.21992,21,23,0
-0.478,-1.68,0.2848,3.51171,67,27,0
-0.478,-4.426,0.108,9.25926,32,39,0
-0.476,-6.25,0.0762,13.13025,22,23,0
