"crust","size","fitted"
"thin","16","0.08"
"thin","16","0.08"
"thin","12","0.11"
"thin","12","0.11"
"deep dish","18","0.07"
"hand-tossed","14","0.09"
"hand-tossed","16","0.08"
"thin","12","0.11"
"thin","10","0.13"
"thin","12","0.11"
"thin","16","0.08"
"hand-tossed","12","0.11"
"thin","14","0.09"
"thin","18","0.07"
"thin","12","0.11"
"thin","20","0.07"
"thin","16","0.08"
"thin","14","0.09"
"thin","14","0.09"
"thin","14","0.09"
"thin","12","0.11"
"deep dish","12","0.11"
"thin","16","0.08"
"deep dish","14","0.09"
"thin","10","0.13"
"thin","10","0.13"
"thin","12","0.11"
"thin","13","0.10"
"thin","10","0.13"
"hand-tossed","10","0.13"
"thin","14","0.09"
"thin","16","0.08"
"thin","12","0.11"
"thin","14","0.09"
"thin","16","0.08"
"deep dish","12","0.11"
"thin","14","0.09"
"hand-tossed","12","0.11"
"thin","18","0.07"
"hand-tossed","14","0.09"
"thin","12","0.11"
"hand-tossed","12","0.11"
"thin","16","0.08"
"thin","14","0.09"
"thin","14","0.09"
"thin","18","0.07"
"thin","12","0.11"
"thin","12","0.11"
"thin","13","0.10"
"thin","14","0.09"
"thin","12","0.11"
"thin","12","0.11"
"deep dish","12","0.11"
"hand-tossed","18","0.07"
"thin","10","0.13"
"thin","10","0.13"
"thin","16","0.08"
"thin","16","0.08"
"deep dish","16","0.08"
"thin","12","0.11"
"thin","16","0.08"
"hand-tossed","14","0.09"
"deep dish","10","0.13"
"thin","18","0.07"
"hand-tossed","12","0.11"
"hand-tossed","16","0.08"
"thin","10","0.13"
"thin","12","0.11"
"thin","16","0.08"
"thin","12","0.11"
"hand-tossed","16","0.08"
"thin","16","0.08"
"hand-tossed","12","0.11"
"thin","18","0.07"
"deep dish","14","0.09"
"thin","14","0.09"
"thin","16","0.08"
"thin"," 8","0.16"
"thin","14","0.09"
"hand-tossed","16","0.08"
"thin"," 8","0.16"
"thin","12","0.11"
"thin","18","0.07"
"deep dish","10","0.13"
"thin","14","0.09"
"hand-tossed","14","0.09"
"thin","14","0.09"
"thin","10","0.13"
"thin","14","0.09"
"thin","14","0.09"
"thin","17","0.08"
"thin","18","0.07"
"thin","12","0.11"
"thin","16","0.08"
"thin","12","0.11"
"thin","15","0.09"
"thin","14","0.09"
"thin","14","0.09"
"thin","12","0.11"
"thin","16","0.08"
