"size","fitted"
" 8.0","0.194202"
" 8.1","0.191529"
" 8.2","0.188926"
" 8.3","0.186389"
" 8.4","0.183916"
" 8.5","0.181504"
" 8.6","0.179151"
" 8.7","0.176856"
" 8.8","0.174616"
" 8.9","0.172429"
" 9.0","0.170293"
" 9.1","0.168207"
" 9.2","0.166169"
" 9.3","0.164178"
" 9.4","0.162231"
" 9.5","0.160327"
" 9.6","0.158466"
" 9.7","0.156644"
" 9.8","0.154863"
" 9.9","0.153119"
"10.0","0.151412"
"10.1","0.149741"
"10.2","0.148104"
"10.3","0.146501"
"10.4","0.144931"
"10.5","0.143392"
"10.6","0.141884"
"10.7","0.140406"
"10.8","0.138957"
"10.9","0.137536"
"11.0","0.136142"
"11.1","0.134774"
"11.2","0.133433"
"11.3","0.132116"
"11.4","0.130824"
"11.5","0.129556"
"11.6","0.128311"
"11.7","0.127088"
"11.8","0.125888"
"11.9","0.124708"
"12.0","0.123550"
"12.1","0.122411"
"12.2","0.121293"
"12.3","0.120193"
"12.4","0.119113"
"12.5","0.118050"
"12.6","0.117006"
"12.7","0.115979"
"12.8","0.114968"
"12.9","0.113975"
"13.0","0.112997"
"13.1","0.112036"
"13.2","0.111089"
"13.3","0.110158"
"13.4","0.109242"
"13.5","0.108339"
"13.6","0.107451"
"13.7","0.106577"
"13.8","0.105716"
"13.9","0.104868"
"14.0","0.104033"
"14.1","0.103210"
"14.2","0.102400"
"14.3","0.101601"
"14.4","0.100815"
"14.5","0.100039"
"14.6","0.099275"
"14.7","0.098522"
"14.8","0.097780"
"14.9","0.097049"
"15.0","0.096327"
"15.1","0.095616"
"15.2","0.094915"
"15.3","0.094223"
"15.4","0.093541"
"15.5","0.092868"
"15.6","0.092204"
"15.7","0.091549"
"15.8","0.090903"
"15.9","0.090266"
"16.0","0.089637"
"16.1","0.089016"
"16.2","0.088403"
"16.3","0.087799"
"16.4","0.087202"
"16.5","0.086612"
"16.6","0.086031"
"16.7","0.085456"
"16.8","0.084889"
"16.9","0.084329"
"17.0","0.083776"
"17.1","0.083230"
"17.2","0.082690"
"17.3","0.082157"
"17.4","0.081631"
"17.5","0.081110"
"17.6","0.080597"
"17.7","0.080089"
"17.8","0.079587"
"17.9","0.079091"
"18.0","0.078601"
"18.1","0.078117"
"18.2","0.077639"
"18.3","0.077166"
"18.4","0.076698"
"18.5","0.076236"
"18.6","0.075779"
"18.7","0.075327"
"18.8","0.074880"
"18.9","0.074438"
"19.0","0.074001"
"19.1","0.073569"
"19.2","0.073142"
"19.3","0.072720"
"19.4","0.072302"
"19.5","0.071888"
"19.6","0.071479"
"19.7","0.071075"
"19.8","0.070674"
"19.9","0.070278"
"20.0","0.069886"
"20.1","0.069499"
"20.2","0.069115"
"20.3","0.068735"
"20.4","0.068360"
"20.5","0.067988"
"20.6","0.067620"
"20.7","0.067256"
"20.8","0.066895"
"20.9","0.066538"
"21.0","0.066185"
"21.1","0.065835"
"21.2","0.065489"
"21.3","0.065146"
"21.4","0.064806"
"21.5","0.064470"
"21.6","0.064138"
"21.7","0.063808"
"21.8","0.063482"
"21.9","0.063158"
"22.0","0.062838"
"22.1","0.062521"
"22.2","0.062207"
"22.3","0.061896"
"22.4","0.061588"
"22.5","0.061283"
"22.6","0.060980"
"22.7","0.060681"
"22.8","0.060384"
"22.9","0.060090"
"23.0","0.059799"
"23.1","0.059510"
"23.2","0.059224"
"23.3","0.058940"
"23.4","0.058660"
"23.5","0.058381"
"23.6","0.058105"
"23.7","0.057832"
"23.8","0.057561"
"23.9","0.057292"
"24.0","0.057026"
