"size","fitted"
" 8.0","0.157575"
" 8.1","0.155581"
" 8.2","0.153637"
" 8.3","0.151741"
" 8.4","0.149890"
" 8.5","0.148083"
" 8.6","0.146319"
" 8.7","0.144595"
" 8.8","0.142912"
" 8.9","0.141267"
" 9.0","0.139658"
" 9.1","0.138086"
" 9.2","0.136548"
" 9.3","0.135043"
" 9.4","0.133571"
" 9.5","0.132131"
" 9.6","0.130720"
" 9.7","0.129340"
" 9.8","0.127987"
" 9.9","0.126663"
"10.0","0.125365"
"10.1","0.124093"
"10.2","0.122846"
"10.3","0.121624"
"10.4","0.120426"
"10.5","0.119251"
"10.6","0.118098"
"10.7","0.116967"
"10.8","0.115857"
"10.9","0.114768"
"11.0","0.113699"
"11.1","0.112650"
"11.2","0.111619"
"11.3","0.110607"
"11.4","0.109613"
"11.5","0.108636"
"11.6","0.107676"
"11.7","0.106733"
"11.8","0.105807"
"11.9","0.104895"
"12.0","0.104000"
"12.1","0.103119"
"12.2","0.102253"
"12.3","0.101401"
"12.4","0.100563"
"12.5","0.099739"
"12.6","0.098928"
"12.7","0.098130"
"12.8","0.097344"
"12.9","0.096571"
"13.0","0.095810"
"13.1","0.095060"
"13.2","0.094322"
"13.3","0.093596"
"13.4","0.092880"
"13.5","0.092175"
"13.6","0.091480"
"13.7","0.090796"
"13.8","0.090122"
"13.9","0.089458"
"14.0","0.088803"
"14.1","0.088158"
"14.2","0.087521"
"14.3","0.086894"
"14.4","0.086276"
"14.5","0.085666"
"14.6","0.085065"
"14.7","0.084472"
"14.8","0.083887"
"14.9","0.083310"
"15.0","0.082741"
"15.1","0.082180"
"15.2","0.081626"
"15.3","0.081079"
"15.4","0.080539"
"15.5","0.080007"
"15.6","0.079481"
"15.7","0.078963"
"15.8","0.078451"
"15.9","0.077945"
"16.0","0.077446"
"16.1","0.076953"
"16.2","0.076466"
"16.3","0.075986"
"16.4","0.075511"
"16.5","0.075042"
"16.6","0.074579"
"16.7","0.074121"
"16.8","0.073669"
"16.9","0.073222"
"17.0","0.072781"
"17.1","0.072345"
"17.2","0.071914"
"17.3","0.071488"
"17.4","0.071067"
"17.5","0.070651"
"17.6","0.070239"
"17.7","0.069833"
"17.8","0.069431"
"17.9","0.069033"
"18.0","0.068640"
"18.1","0.068252"
"18.2","0.067867"
"18.3","0.067487"
"18.4","0.067111"
"18.5","0.066740"
"18.6","0.066372"
"18.7","0.066008"
"18.8","0.065649"
"18.9","0.065293"
"19.0","0.064940"
"19.1","0.064592"
"19.2","0.064247"
"19.3","0.063906"
"19.4","0.063569"
"19.5","0.063235"
"19.6","0.062904"
"19.7","0.062577"
"19.8","0.062253"
"19.9","0.061932"
"20.0","0.061615"
"20.1","0.061301"
"20.2","0.060990"
"20.3","0.060682"
"20.4","0.060377"
"20.5","0.060076"
"20.6","0.059777"
"20.7","0.059481"
"20.8","0.059188"
"20.9","0.058898"
"21.0","0.058610"
"21.1","0.058326"
"21.2","0.058044"
"21.3","0.057764"
"21.4","0.057488"
"21.5","0.057214"
"21.6","0.056942"
"21.7","0.056673"
"21.8","0.056407"
"21.9","0.056143"
"22.0","0.055882"
"22.1","0.055623"
"22.2","0.055366"
"22.3","0.055111"
"22.4","0.054859"
"22.5","0.054609"
"22.6","0.054362"
"22.7","0.054116"
"22.8","0.053873"
"22.9","0.053632"
"23.0","0.053393"
"23.1","0.053156"
"23.2","0.052921"
"23.3","0.052689"
"23.4","0.052458"
"23.5","0.052229"
"23.6","0.052002"
"23.7","0.051778"
"23.8","0.051555"
"23.9","0.051334"
"24.0","0.051114"
"24.1","0.050897"
"24.2","0.050682"
"24.3","0.050468"
"24.4","0.050256"
"24.5","0.050046"
"24.6","0.049837"
"24.7","0.049631"
"24.8","0.049425"
"24.9","0.049222"
"25.0","0.049020"
"25.1","0.048820"
"25.2","0.048622"
"25.3","0.048425"
"25.4","0.048229"
"25.5","0.048036"
"25.6","0.047843"
"25.7","0.047653"
"25.8","0.047463"
"25.9","0.047275"
"26.0","0.047089"
"26.1","0.046904"
"26.2","0.046721"
"26.3","0.046539"
"26.4","0.046358"
"26.5","0.046179"
"26.6","0.046001"
"26.7","0.045824"
"26.8","0.045649"
"26.9","0.045475"
"27.0","0.045303"
"27.1","0.045131"
"27.2","0.044961"
"27.3","0.044793"
"27.4","0.044625"
"27.5","0.044459"
"27.6","0.044294"
"27.7","0.044130"
"27.8","0.043967"
"27.9","0.043806"
"28.0","0.043645"
