"size","fitted"
" 8.0","0.224815"
" 8.1","0.221691"
" 8.2","0.218647"
" 8.3","0.215682"
" 8.4","0.212791"
" 8.5","0.209973"
" 8.6","0.207224"
" 8.7","0.204543"
" 8.8","0.201926"
" 8.9","0.199371"
" 9.0","0.196877"
" 9.1","0.194442"
" 9.2","0.192062"
" 9.3","0.189737"
" 9.4","0.187465"
" 9.5","0.185243"
" 9.6","0.183070"
" 9.7","0.180945"
" 9.8","0.178867"
" 9.9","0.176832"
"10.0","0.174841"
"10.1","0.172892"
"10.2","0.170984"
"10.3","0.169115"
"10.4","0.167284"
"10.5","0.165490"
"10.6","0.163732"
"10.7","0.162009"
"10.8","0.160320"
"10.9","0.158664"
"11.0","0.157040"
"11.1","0.155447"
"11.2","0.153884"
"11.3","0.152351"
"11.4","0.150846"
"11.5","0.149369"
"11.6","0.147919"
"11.7","0.146495"
"11.8","0.145097"
"11.9","0.143724"
"12.0","0.142376"
"12.1","0.141051"
"12.2","0.139749"
"12.3","0.138469"
"12.4","0.137212"
"12.5","0.135976"
"12.6","0.134761"
"12.7","0.133566"
"12.8","0.132391"
"12.9","0.131235"
"13.0","0.130098"
"13.1","0.128980"
"13.2","0.127880"
"13.3","0.126797"
"13.4","0.125731"
"13.5","0.124683"
"13.6","0.123650"
"13.7","0.122634"
"13.8","0.121633"
"13.9","0.120648"
"14.0","0.119677"
"14.1","0.118721"
"14.2","0.117780"
"14.3","0.116852"
"14.4","0.115938"
"14.5","0.115038"
"14.6","0.114151"
"14.7","0.113276"
"14.8","0.112414"
"14.9","0.111565"
"15.0","0.110727"
"15.1","0.109901"
"15.2","0.109087"
"15.3","0.108284"
"15.4","0.107492"
"15.5","0.106711"
"15.6","0.105941"
"15.7","0.105181"
"15.8","0.104431"
"15.9","0.103692"
"16.0","0.102962"
"16.1","0.102241"
"16.2","0.101531"
"16.3","0.100829"
"16.4","0.100137"
"16.5","0.099453"
"16.6","0.098779"
"16.7","0.098112"
"16.8","0.097455"
"16.9","0.096805"
"17.0","0.096164"
"17.1","0.095531"
"17.2","0.094905"
"17.3","0.094287"
"17.4","0.093677"
"17.5","0.093074"
"17.6","0.092479"
"17.7","0.091890"
"17.8","0.091309"
"17.9","0.090734"
"18.0","0.090167"
"18.1","0.089605"
"18.2","0.089051"
"18.3","0.088503"
"18.4","0.087961"
"18.5","0.087426"
"18.6","0.086896"
"18.7","0.086373"
"18.8","0.085856"
"18.9","0.085344"
"19.0","0.084838"
"19.1","0.084338"
"19.2","0.083843"
"19.3","0.083354"
"19.4","0.082870"
"19.5","0.082391"
"19.6","0.081918"
"19.7","0.081449"
"19.8","0.080986"
"19.9","0.080528"
"20.0","0.080074"
"20.1","0.079626"
"20.2","0.079182"
"20.3","0.078742"
"20.4","0.078308"
"20.5","0.077877"
"20.6","0.077452"
"20.7","0.077030"
"20.8","0.076613"
"20.9","0.076200"
"21.0","0.075792"
"21.1","0.075387"
"21.2","0.074986"
"21.3","0.074590"
"21.4","0.074197"
"21.5","0.073809"
"21.6","0.073424"
"21.7","0.073043"
"21.8","0.072665"
"21.9","0.072292"
"22.0","0.071922"
"22.1","0.071555"
"22.2","0.071192"
"22.3","0.070832"
"22.4","0.070476"
"22.5","0.070123"
"22.6","0.069774"
"22.7","0.069428"
"22.8","0.069085"
"22.9","0.068745"
"23.0","0.068408"
"23.1","0.068075"
"23.2","0.067744"
"23.3","0.067417"
"23.4","0.067092"
"23.5","0.066771"
"23.6","0.066452"
"23.7","0.066136"
"23.8","0.065823"
"23.9","0.065513"
"24.0","0.065206"
"24.1","0.064901"
"24.2","0.064599"
"24.3","0.064299"
"24.4","0.064003"
"24.5","0.063708"
"24.6","0.063417"
"24.7","0.063127"
"24.8","0.062841"
"24.9","0.062556"
"25.0","0.062275"
"25.1","0.061995"
"25.2","0.061718"
"25.3","0.061443"
"25.4","0.061171"
"25.5","0.060901"
"25.6","0.060633"
"25.7","0.060367"
"25.8","0.060103"
"25.9","0.059842"
"26.0","0.059583"
"26.1","0.059326"
"26.2","0.059071"
"26.3","0.058818"
"26.4","0.058567"
"26.5","0.058318"
"26.6","0.058071"
"26.7","0.057826"
"26.8","0.057583"
"26.9","0.057342"
"27.0","0.057102"
"27.1","0.056865"
"27.2","0.056630"
"27.3","0.056396"
"27.4","0.056164"
"27.5","0.055934"
"27.6","0.055706"
"27.7","0.055479"
"27.8","0.055255"
"27.9","0.055031"
"28.0","0.054810"
"28.1","0.054590"
"28.2","0.054372"
"28.3","0.054156"
"28.4","0.053941"
"28.5","0.053728"
"28.6","0.053516"
"28.7","0.053306"
"28.8","0.053098"
"28.9","0.052891"
"29.0","0.052685"
"29.1","0.052482"
"29.2","0.052279"
"29.3","0.052078"
"29.4","0.051879"
"29.5","0.051680"
"29.6","0.051484"
"29.7","0.051289"
"29.8","0.051095"
"29.9","0.050902"
"30.0","0.050711"
