"size","fitted"
" 8.0","0.163348"
" 8.1","0.161353"
" 8.2","0.159407"
" 8.3","0.157506"
" 8.4","0.155651"
" 8.5","0.153840"
" 8.6","0.152070"
" 8.7","0.150341"
" 8.8","0.148650"
" 8.9","0.146998"
" 9.0","0.145382"
" 9.1","0.143802"
" 9.2","0.142255"
" 9.3","0.140742"
" 9.4","0.139261"
" 9.5","0.137810"
" 9.6","0.136390"
" 9.7","0.134999"
" 9.8","0.133636"
" 9.9","0.132301"
"10.0","0.130992"
"10.1","0.129709"
"10.2","0.128451"
"10.3","0.127217"
"10.4","0.126007"
"10.5","0.124819"
"10.6","0.123654"
"10.7","0.122511"
"10.8","0.121389"
"10.9","0.120287"
"11.0","0.119205"
"11.1","0.118143"
"11.2","0.117099"
"11.3","0.116074"
"11.4","0.115067"
"11.5","0.114077"
"11.6","0.113104"
"11.7","0.112147"
"11.8","0.111207"
"11.9","0.110283"
"12.0","0.109373"
"12.1","0.108479"
"12.2","0.107600"
"12.3","0.106734"
"12.4","0.105883"
"12.5","0.105045"
"12.6","0.104220"
"12.7","0.103408"
"12.8","0.102609"
"12.9","0.101822"
"13.0","0.101047"
"13.1","0.100284"
"13.2","0.099532"
"13.3","0.098792"
"13.4","0.098062"
"13.5","0.097344"
"13.6","0.096636"
"13.7","0.095938"
"13.8","0.095250"
"13.9","0.094572"
"14.0","0.093904"
"14.1","0.093245"
"14.2","0.092595"
"14.3","0.091955"
"14.4","0.091323"
"14.5","0.090700"
"14.6","0.090085"
"14.7","0.089479"
"14.8","0.088881"
"14.9","0.088291"
"15.0","0.087708"
"15.1","0.087134"
"15.2","0.086567"
"15.3","0.086007"
"15.4","0.085454"
"15.5","0.084909"
"15.6","0.084370"
"15.7","0.083839"
"15.8","0.083314"
"15.9","0.082795"
"16.0","0.082284"
"16.1","0.081778"
"16.2","0.081279"
"16.3","0.080785"
"16.4","0.080298"
"16.5","0.079816"
"16.6","0.079341"
"16.7","0.078871"
"16.8","0.078406"
"16.9","0.077947"
"17.0","0.077494"
"17.1","0.077045"
"17.2","0.076602"
"17.3","0.076164"
"17.4","0.075731"
"17.5","0.075303"
"17.6","0.074880"
"17.7","0.074461"
"17.8","0.074047"
"17.9","0.073638"
"18.0","0.073233"
"18.1","0.072833"
"18.2","0.072437"
"18.3","0.072046"
"18.4","0.071658"
"18.5","0.071275"
"18.6","0.070896"
"18.7","0.070521"
"18.8","0.070150"
"18.9","0.069783"
"19.0","0.069419"
"19.1","0.069060"
"19.2","0.068704"
"19.3","0.068352"
"19.4","0.068003"
"19.5","0.067658"
"19.6","0.067317"
"19.7","0.066979"
"19.8","0.066644"
"19.9","0.066313"
"20.0","0.065985"
"20.1","0.065660"
"20.2","0.065338"
"20.3","0.065020"
"20.4","0.064704"
"20.5","0.064392"
"20.6","0.064083"
"20.7","0.063777"
"20.8","0.063473"
"20.9","0.063173"
"21.0","0.062875"
"21.1","0.062581"
"21.2","0.062288"
"21.3","0.061999"
"21.4","0.061713"
"21.5","0.061429"
"21.6","0.061147"
"21.7","0.060868"
"21.8","0.060592"
"21.9","0.060319"
"22.0","0.060047"
"22.1","0.059778"
"22.2","0.059512"
"22.3","0.059248"
"22.4","0.058986"
"22.5","0.058727"
"22.6","0.058470"
"22.7","0.058215"
"22.8","0.057963"
"22.9","0.057712"
"23.0","0.057464"
"23.1","0.057218"
"23.2","0.056974"
"23.3","0.056732"
"23.4","0.056492"
"23.5","0.056254"
"23.6","0.056018"
"23.7","0.055785"
"23.8","0.055553"
"23.9","0.055323"
"24.0","0.055095"
"24.1","0.054869"
"24.2","0.054644"
"24.3","0.054422"
"24.4","0.054201"
"24.5","0.053982"
"24.6","0.053765"
"24.7","0.053550"
"24.8","0.053336"
"24.9","0.053124"
"25.0","0.052914"
"25.1","0.052706"
"25.2","0.052499"
"25.3","0.052293"
"25.4","0.052090"
"25.5","0.051888"
"25.6","0.051687"
"25.7","0.051488"
"25.8","0.051291"
"25.9","0.051095"
"26.0","0.050900"
"26.1","0.050707"
"26.2","0.050516"
"26.3","0.050326"
"26.4","0.050137"
"26.5","0.049950"
"26.6","0.049764"
"26.7","0.049580"
"26.8","0.049397"
"26.9","0.049215"
"27.0","0.049035"
"27.1","0.048856"
"27.2","0.048678"
"27.3","0.048502"
"27.4","0.048327"
"27.5","0.048153"
"27.6","0.047980"
"27.7","0.047809"
"27.8","0.047639"
"27.9","0.047470"
"28.0","0.047302"
"28.1","0.047136"
"28.2","0.046970"
"28.3","0.046806"
"28.4","0.046643"
"28.5","0.046481"
"28.6","0.046320"
"28.7","0.046161"
"28.8","0.046002"
"28.9","0.045845"
"29.0","0.045688"
"29.1","0.045533"
"29.2","0.045379"
"29.3","0.045225"
"29.4","0.045073"
"29.5","0.044922"
"29.6","0.044772"
"29.7","0.044623"
"29.8","0.044475"
"29.9","0.044328"
"30.0","0.044181"
