"menu_item_id","region","crust","size","variable","value","radius","area","px_inc"
" 5215603","Midwest","thin","12","one_topping_px","21"," 6","113","0.189"
"10211870","Midwest","thin","16","three_topping_px","18"," 8","201","0.087"
"11102202","Midwest","thin","18","zero_topping_px","18"," 9","254","0.071"
" 7885338","South","hand-tossed","10","four_topping_px"," 6"," 5"," 79","0.076"
" 8685051","Midwest","stuffed","14","four_topping_px","17"," 7","154","0.110"
" 9601919","Midwest","thin","14","three_topping_px","13"," 7","154","0.084"
" 8372832","Midwest","thin","16","three_topping_px","10"," 8","201","0.050"
" 1975234","South","thin","18","three_topping_px","16"," 9","254","0.063"
" 1694097","West","thin","18","one_topping_px","26"," 9","254","0.104"
" 9607632","South","thin","12","one_topping_px","11"," 6","113","0.097"
" 1954838","Midwest","thin","14","two_topping_px","12"," 7","154","0.081"
" 7885337","South","deep dish","10","zero_topping_px"," 9"," 5"," 79","0.121"
" 8866169","Midwest","thin","18","three_topping_px","17"," 9","254","0.068"
"  119945","Midwest","stuffed","12","two_topping_px","18"," 6","113","0.156"
" 1568325","Midwest","stuffed","12","three_topping_px","16"," 6","113","0.139"
" 9952894","Midwest","thin","18","one_topping_px","16"," 9","254","0.063"
" 8886887","Midwest","stuffed","16","one_topping_px","19"," 8","201","0.094"
" 6651482","Midwest","thin","16","one_topping_px","13"," 8","201","0.065"
"11759719","Midwest","thin","10","zero_topping_px"," 7"," 5"," 79","0.089"
" 3508905","Midwest","thin","12","one_topping_px","10"," 6","113","0.088"
" 7885337","South","deep dish","10","three_topping_px"," 9"," 5"," 79","0.121"
" 7809160","West","thin","16","four_topping_px","15"," 8","201","0.074"
" 9432781","Midwest","deep dish","16","two_topping_px","18"," 8","201","0.089"
"  667874","Northeast","thin","16","zero_topping_px","17"," 8","201","0.085"
"10449378","Midwest","thin","14","four_topping_px","13"," 7","154","0.087"
"   77880","Midwest","thin","12","two_topping_px","12"," 6","113","0.111"
" 2829912","Midwest","thin","12","zero_topping_px","16"," 6","113","0.141"
"11904549","West","hand-tossed","24","three_topping_px","23","12","452","0.051"
" 7086625","South","thin","14","three_topping_px","10"," 7","154","0.065"
" 9132079","South","hand-tossed","14","zero_topping_px","11"," 7","154","0.071"
"10267881","Midwest","thin","12","zero_topping_px","11"," 6","113","0.097"
" 7867344","Midwest","deep dish","16","four_topping_px","22"," 8","201","0.110"
" 9163603","South","thin","16","four_topping_px","12"," 8","201","0.060"
"10458477","Midwest","stuffed","16","two_topping_px","20"," 8","201","0.097"
" 6869641","Midwest","stuffed","16","one_topping_px","18"," 8","201","0.089"
"10595381","Midwest","thin","14","three_topping_px","16"," 7","154","0.102"
" 7857443","Northeast","thin","23","two_topping_px","23","12","415","0.055"
" 3508905","Midwest","thin","16","three_topping_px","13"," 8","201","0.067"
"11863009","South","thin","12","four_topping_px","18"," 6","113","0.159"
" 9205822","Midwest","thin","14","two_topping_px","16"," 7","154","0.106"
"  914244","Midwest","thin","10","one_topping_px","11"," 5"," 79","0.143"
" 8203604","Midwest","thin","18","three_topping_px","37"," 9","254","0.144"
" 6986620","Northeast","hand-tossed","16","one_topping_px","14"," 8","201","0.072"
" 6335719","Midwest","hand-tossed","10","one_topping_px","11"," 5"," 79","0.139"
" 8488930","Midwest","thin","12","zero_topping_px","16"," 6","113","0.139"
"10334243","Midwest","thin","14","two_topping_px","24"," 7","154","0.156"
" 2476985","Midwest","thin","14","four_topping_px","12"," 7","154","0.078"
" 7912978","West","deep dish","12","two_topping_px","14"," 6","113","0.123"
" 8055284","Northeast","hand-tossed","12","four_topping_px"," 8"," 6","113","0.068"
"10379619","Midwest","thin","16","three_topping_px","16"," 8","201","0.079"
" 9826819","Midwest","thin","14","zero_topping_px","14"," 7","154","0.091"
"10636012","Midwest","stuffed","18","one_topping_px","20"," 9","254","0.079"
" 8203773","Midwest","stuffed","12","one_topping_px","17"," 6","113","0.150"
