"crust","size","value","px_inc"
"regular","16","19","0.09"
"regular","10"," 8","0.10"
"regular","10","11","0.14"
"regular","12","12","0.10"
"regular","18","15","0.06"
"regular","12"," 9","0.08"
"regular","16","10","0.05"
"regular","12"," 6","0.05"
"regular","12","11","0.10"
"regular","10"," 8","0.11"
"regular","10"," 8","0.10"
"regular","24","23","0.05"
"regular","14","15","0.10"
"regular","10","24","0.30"
"regular","10","12","0.16"
"regular","14","11","0.07"
"regular","12"," 9","0.08"
"regular","16","20","0.10"
"regular","18","12","0.05"
"regular","10","14","0.18"
"regular","28","50","0.08"
"regular","12","13","0.12"
"regular","10","13","0.17"
"regular","12"," 8","0.07"
"regular","18","16","0.06"
"regular","16","16","0.08"
"regular","10","14","0.18"
"regular","10"," 9","0.12"
"regular","10"," 8","0.10"
"regular","16","13","0.06"
"regular","16","17","0.08"
"regular","14","18","0.11"
"regular","12","12","0.11"
"regular","12"," 6","0.05"
"regular"," 8"," 9","0.17"
"regular","18","18","0.07"
"regular","10"," 8","0.10"
"regular","10"," 4","0.05"
"regular","18","14","0.05"
"regular","18","18","0.07"
"regular","14","17","0.11"
"regular","18","22","0.09"
"regular","16","18","0.09"
"regular","14","11","0.07"
"regular","10"," 7","0.09"
"regular","14","23","0.15"
"regular","16"," 9","0.04"
"regular","12"," 6","0.05"
"regular","12","18","0.16"
"regular","10","14","0.18"
"regular","18","23","0.09"
"regular","16","15","0.07"
"regular","24","23","0.05"
"regular","14","16","0.11"
"regular"," 8"," 9","0.18"
"regular"," 8"," 7","0.14"
"regular","16","23","0.11"
"regular","20","18","0.06"
"regular","16","18","0.09"
"regular","14","12","0.08"
"regular","12","10","0.09"
"regular","16","12","0.06"
"regular","12","12","0.10"
"regular","10","10","0.13"
"regular","18","13","0.05"
"regular","10"," 7","0.09"
"regular","10"," 5","0.06"
"regular","14","15","0.10"
"regular","14","10","0.06"
"regular","12","17","0.15"
"regular","14","13","0.08"
"regular","16","13","0.06"
"regular","10","23","0.29"
"regular","16","13","0.06"
"regular","14","14","0.09"
"regular","10"," 4","0.05"
"regular","20","19","0.06"
"regular","16","14","0.07"
"regular","18","13","0.05"
"regular","22","22","0.06"
"regular","14"," 9","0.06"
"regular","16","16","0.08"
"regular","10","10","0.13"
"regular","16","16","0.08"
"regular","13","10","0.08"
"regular","18","18","0.07"
"regular","18","18","0.07"
"regular","16","14","0.07"
"regular"," 8"," 6","0.12"
"regular","12"," 8","0.07"
"regular","20","29","0.09"
"regular","16","17","0.09"
"regular"," 8"," 3","0.06"
"regular","16","10","0.05"
"regular","18","22","0.09"
"regular","14","18","0.11"
"regular","16","19","0.10"
"regular","14","13","0.08"
"regular","12","11","0.10"
"regular","13","15","0.11"
"regular","14"," 9","0.06"
"regular","14","11","0.07"
"regular","10","13","0.16"
"regular"," 8"," 3","0.06"
"regular","16","10","0.05"
"regular","18","11","0.04"
"regular","16","21","0.10"
"regular","22","22","0.06"
"regular","10"," 8","0.10"
"regular","24","23","0.05"
"regular","16","20","0.10"
"regular","18","19","0.07"
"regular","10","21","0.27"
"regular","10"," 7","0.09"
"regular","10"," 4","0.05"
"regular","10","12","0.16"
"regular","23","31","0.07"
"regular","12"," 9","0.08"
"regular","16","16","0.08"
"regular","12","12","0.10"
"regular","16","15","0.07"
"regular","12","10","0.09"
"regular","12","13","0.12"
"regular","12","15","0.13"
"regular"," 6"," 7","0.25"
"regular","16","10","0.05"
"regular","14","12","0.07"
"regular","14","10","0.06"
"regular","18","17","0.07"
"regular","14","13","0.08"
"regular"," 6"," 7","0.25"
"regular","14","10","0.06"
"regular","16","11","0.05"
"regular","16","19","0.09"
"regular","12","15","0.13"
"regular","24","30","0.07"
"regular","12"," 4","0.04"
"regular","16","20","0.10"
"regular","10"," 8","0.10"
"regular","10"," 6","0.08"
"regular","14","25","0.17"
"regular","18","18","0.07"
"regular","10"," 8","0.11"
"regular","18","27","0.11"
"regular","14"," 9","0.06"
"regular","10"," 4","0.05"
"regular","18","30","0.12"
"regular","12"," 9","0.08"
"regular","18","24","0.09"
"regular","16","18","0.09"
"regular","16","18","0.09"
"regular","12"," 6","0.05"
"regular"," 8","12","0.24"
"regular","14","21","0.14"
"regular","16","22","0.11"
"regular","14","11","0.07"
"regular","18","23","0.09"
"regular","12"," 6","0.05"
"regular","18","18","0.07"
"regular","10"," 7","0.09"
"regular","12"," 9","0.08"
"regular","16","18","0.09"
"regular","16"," 8","0.04"
"regular","10","24","0.31"
"regular","18","19","0.07"
"regular","18","16","0.06"
"regular","18","23","0.09"
"regular","16","10","0.05"
"regular","14","10","0.07"
"regular","14","10","0.06"
"regular","12"," 6","0.05"
"regular","20","17","0.05"
"regular","16","23","0.11"
"regular","10","14","0.18"
"regular","13","10","0.08"
"regular","14","14","0.09"
"regular","18","14","0.06"
"regular","12","13","0.12"
"regular","28","50","0.08"
"regular","16","11","0.05"
"regular","18","25","0.10"
"regular","12","11","0.09"
"regular","10","12","0.15"
"regular","24","26","0.06"
"regular","12"," 9","0.08"
"regular","10"," 4","0.05"
"regular","10","11","0.14"
"regular","24","29","0.06"
"regular","18","25","0.10"
"regular","12","10","0.09"
"regular","16","10","0.05"
"regular","16","13","0.06"
"regular","14","15","0.10"
"regular","12","11","0.10"
"regular","16","22","0.11"
"regular","18","13","0.05"
"regular","14","13","0.08"
"regular","10","14","0.18"
"regular","12","10","0.09"
"regular","10"," 8","0.10"
"regular","14","24","0.16"
"regular"," 9","10","0.16"
"regular","24","35","0.08"
"regular","10"," 7","0.09"
"regular","14","13","0.08"
"regular","18","27","0.11"
"regular"," 6"," 7","0.25"
"regular","16","20","0.10"
"regular"," 9"," 8","0.13"
"regular","18","33","0.13"
"regular","10","12","0.16"
"regular","14","12","0.08"
"regular","18","20","0.08"
"regular","10"," 8","0.11"
"regular","18","21","0.08"
"regular","16","11","0.05"
"regular","10"," 9","0.12"
"regular","10"," 7","0.09"
"regular","30","40","0.06"
"regular","14","13","0.08"
"regular","16","20","0.10"
"regular","12","11","0.10"
"regular","10"," 7","0.09"
"regular","14","10","0.07"
"regular","10","12","0.15"
"regular","14"," 8","0.05"
"regular","18","24","0.09"
"regular","14","12","0.08"
"regular","12"," 4","0.04"
"regular","12","15","0.13"
"regular","16","17","0.08"
"regular","12","10","0.09"
"regular","10"," 7","0.09"
"regular","18","19","0.07"
"regular","12","26","0.23"
"regular","16","12","0.06"
"regular","18","19","0.07"
"regular","14"," 9","0.06"
"regular","12","12","0.11"
"regular","24","23","0.05"
"regular","14","19","0.12"
"regular","16","18","0.09"
"regular","14","12","0.08"
"regular","14","11","0.07"
"regular","12","12","0.10"
"regular","18","18","0.07"
"regular","10"," 8","0.10"
"regular","18","13","0.05"
"regular","16","18","0.09"
"regular"," 9"," 8","0.13"
"regular","12"," 8","0.07"
"regular","14","12","0.08"
"regular","16","19","0.10"
"regular","16","14","0.07"
"regular","18","11","0.04"
"regular","12"," 8","0.07"
"regular","12","13","0.12"
"regular","10","11","0.14"
"regular","18","22","0.09"
"regular","16","13","0.06"
"regular","12"," 8","0.07"
"regular","14","18","0.11"
"regular","18","16","0.06"
"regular","18","13","0.05"
"regular"," 8"," 5","0.10"
"regular","16","24","0.12"
"regular","14","10","0.07"
"regular","12","10","0.09"
"regular","18","16","0.06"
"regular","16","18","0.09"
"regular","12"," 9","0.08"
"regular","16","14","0.07"
"regular","12"," 9","0.08"
"regular","14","11","0.07"
"regular","10"," 8","0.11"
"regular","16","13","0.06"
"regular","14","13","0.08"
"regular","24","35","0.08"
"regular","16","46","0.23"
"regular","10","21","0.26"
"regular"," 6"," 7","0.26"
"regular","20","24","0.08"
"regular","24","27","0.06"
"regular","18","20","0.08"
"regular","16","15","0.07"
"regular","18","16","0.06"
"regular","18","27","0.11"
"regular","12"," 9","0.08"
"regular","16","25","0.12"
"regular","14","17","0.11"
"regular","12","13","0.12"
"regular","10"," 8","0.10"
"regular","10","13","0.16"
"regular","14","22","0.15"
"regular","18","23","0.09"
"regular"," 8"," 9","0.18"
"regular","16","10","0.05"
"regular","16","10","0.05"
"regular","10","12","0.15"
"regular","12","12","0.11"
"regular","20","20","0.06"
"regular","14","20","0.13"
"regular","16","19","0.10"
"regular","14","15","0.10"
"regular","14","19","0.12"
"regular","10"," 4","0.05"
"regular","10","10","0.12"
"regular","15","20","0.11"
"regular","12","16","0.14"
"regular","12","14","0.12"
"regular","18","21","0.08"
"regular","14","15","0.10"
"regular","14","12","0.08"
"regular","18","23","0.09"
"regular","10","12","0.15"
"regular","14","15","0.10"
"regular","12","18","0.16"
"regular","18","23","0.09"
"regular","14"," 9","0.06"
"regular","12","13","0.12"
"regular"," 9"," 6","0.10"
"regular","14","10","0.06"
"regular","30","41","0.06"
"regular","13","10","0.08"
"regular","12"," 7","0.06"
"regular","16","15","0.07"
"regular","12","13","0.12"
"regular","12","11","0.09"
"regular","18","33","0.13"
"regular","12","11","0.10"
"regular","14","10","0.06"
"regular","14"," 9","0.06"
"regular","12","13","0.12"
"regular","14"," 6","0.04"
"regular","12","13","0.12"
"regular","12"," 7","0.06"
"regular","10"," 8","0.11"
"regular","13","11","0.08"
"regular","14","18","0.12"
"regular","18","21","0.08"
"regular","14","16","0.10"
"regular","12","13","0.11"
"regular","16","13","0.06"
"regular","18","33","0.13"
"regular","12"," 8","0.07"
"regular","14","10","0.06"
"regular","12"," 6","0.05"
"regular","24","35","0.08"
"regular","10","35","0.45"
"regular","16","11","0.05"
"regular","20","20","0.06"
"regular","16","13","0.07"
"regular","16","17","0.09"
"regular","16","10","0.05"
"regular","12"," 7","0.07"
"regular","14","18","0.12"
"regular","14","17","0.11"
"regular","16","18","0.09"
"regular","20","29","0.09"
"regular","14"," 8","0.05"
"regular","16","19","0.10"
"regular","10"," 7","0.09"
"regular","14","12","0.08"
"regular","12","13","0.11"
"regular","10"," 6","0.07"
"regular","12","16","0.14"
"regular","12","12","0.10"
"regular","10"," 5","0.06"
"regular","14","14","0.09"
"regular","10"," 7","0.09"
"regular","18","19","0.07"
"regular","16","17","0.08"
"regular","10"," 8","0.10"
"regular"," 9"," 7","0.11"
"regular","12"," 8","0.07"
"regular","12","10","0.09"
"regular","16","17","0.08"
"regular","16","20","0.10"
"regular","16","15","0.07"
"regular","14","22","0.14"
"regular","28","38","0.06"
"regular","16","12","0.06"
"regular","12","34","0.30"
"regular","18","15","0.06"
"regular","18","16","0.06"
"regular","12"," 7","0.06"
"regular","14","13","0.08"
"regular","12","13","0.12"
"regular","10"," 9","0.11"
"regular","12"," 8","0.07"
"regular","18","22","0.09"
"regular","18","14","0.05"
"regular","12","31","0.27"
"regular","14","15","0.10"
"regular","14","11","0.07"
"regular","10","23","0.29"
"regular"," 7"," 4","0.10"
"regular","12","26","0.23"
"regular","14","15","0.10"
"regular","12"," 9","0.08"
"regular","14"," 6","0.04"
"regular","16","13","0.07"
"regular","14","39","0.25"
"regular","14"," 9","0.06"
"regular","10","10","0.13"
"regular","22","14","0.04"
"regular","12","12","0.11"
"regular","18","16","0.06"
"regular","18","26","0.10"
"regular","16","16","0.08"
"regular","12","17","0.15"
"regular","13","10","0.08"
"regular","10"," 8","0.11"
"regular","12"," 8","0.07"
"regular"," 6"," 7","0.25"
"regular","14"," 9","0.06"
"regular","14","16","0.10"
"regular","18","15","0.06"
"regular","10","10","0.13"
"regular","14","15","0.10"
"regular","20","32","0.10"
"regular","16","10","0.05"
"regular","12"," 9","0.08"
"regular","16","19","0.09"
"regular","16","14","0.07"
"regular","30","32","0.05"
"regular","16","12","0.06"
"regular","16","13","0.06"
"regular"," 8"," 7","0.14"
"regular","10","11","0.13"
"regular","14","16","0.11"
"regular","18","20","0.08"
"regular"," 9"," 7","0.11"
"regular","14"," 8","0.05"
"regular","12","12","0.11"
"regular","16","13","0.06"
"regular"," 8","14","0.28"
"regular","10"," 8","0.10"
"regular","12"," 9","0.08"
"regular","16","10","0.05"
"regular","16","11","0.05"
"regular","18","24","0.09"
"regular","10"," 4","0.05"
"regular","12"," 9","0.08"
"regular","10","12","0.16"
"regular","10","12","0.15"
"regular","10","10","0.13"
"regular","10"," 9","0.11"
"regular","15","16","0.09"
"regular","16","15","0.07"
"regular","10","11","0.14"
"regular","16","16","0.08"
"regular","10"," 6","0.08"
"regular","14","15","0.10"
"regular","12","13","0.12"
"regular","13","10","0.08"
"regular","18","15","0.06"
"regular","16","13","0.06"
"regular","16","14","0.07"
"regular","14","12","0.08"
"regular","18","23","0.09"
"regular","16","13","0.06"
"regular","18","20","0.08"
"regular","16","15","0.08"
"regular","18","11","0.04"
"regular","14"," 9","0.06"
"regular","12","13","0.11"
"regular","10","12","0.15"
"regular","18","18","0.07"
"regular","16","10","0.05"
"regular","10"," 7","0.09"
"regular","10","13","0.17"
"regular","16","20","0.10"
"regular"," 6"," 7","0.25"
"regular","12"," 9","0.08"
"regular","12","15","0.13"
"regular","16","13","0.06"
"regular","16"," 9","0.04"
"regular","12","12","0.11"
"regular","14","15","0.10"
"regular","16","15","0.07"
"regular","16","17","0.08"
"regular","10"," 8","0.11"
"regular","16","14","0.07"
"regular","16","18","0.09"
"regular","10"," 6","0.08"
"regular","14","14","0.09"
"regular","10","35","0.45"
"regular","14","27","0.18"
"regular","28","29","0.05"
"regular","18","19","0.08"
"regular","12"," 7","0.06"
"regular","10","10","0.13"
"regular","16","21","0.10"
"regular","18","19","0.07"
"regular","14"," 8","0.05"
"regular","16","12","0.06"
"regular","20","16","0.05"
"regular","12"," 9","0.08"
"regular","14","13","0.09"
"regular","18","15","0.06"
"regular","14","11","0.07"
"regular","12","16","0.14"
"regular","10"," 7","0.09"
"regular","12","12","0.11"
"regular","10","19","0.24"
"regular","10","24","0.30"
"regular","12","10","0.09"
"regular","28","38","0.06"
"regular","14","20","0.13"
"regular","12"," 8","0.07"
