"crust","size","value","px_inc"
"stuffed","12","15","0.134"
"stuffed","14"," 7","0.045"
"stuffed","18","21","0.082"
"stuffed","14","16","0.102"
"stuffed","10","12","0.156"
"stuffed","14","19","0.122"
"stuffed","12","15","0.134"
"stuffed","16","18","0.088"
"stuffed","18","24","0.094"
"stuffed","16","24","0.117"
"stuffed","16","19","0.094"
"stuffed","14","18","0.117"
"stuffed","18","24","0.096"
"stuffed","18","22","0.086"
"stuffed","14","11","0.072"
"stuffed","12","14","0.126"
"stuffed","13","23","0.173"
"stuffed","12","13","0.113"
"stuffed","14","19","0.121"
"stuffed","14","23","0.152"
"stuffed","16","20","0.099"
"stuffed","10","12","0.153"
"stuffed","10","15","0.191"
"stuffed","14","15","0.097"
"stuffed","12","16","0.137"
"stuffed","16","21","0.102"
"stuffed","14","22","0.143"
"stuffed","12","21","0.183"
"stuffed"," 8"," 8","0.162"
"stuffed","12","18","0.161"
"stuffed","12","13","0.118"
"stuffed","12","15","0.130"
"stuffed","12","20","0.177"
"stuffed","16","17","0.085"
"stuffed","14","21","0.137"
"stuffed","12","21","0.183"
"stuffed","12","18","0.164"
"stuffed","14","17","0.110"
"stuffed"," 6","10","0.353"
"stuffed","14","19","0.123"
"stuffed","14","17","0.110"
"stuffed","14","23","0.152"
"stuffed"," 7"," 8","0.208"
"stuffed","14","20","0.133"
"stuffed","16","22","0.109"
"stuffed","14","19","0.123"
"stuffed","12","20","0.179"
"stuffed","10","12","0.159"
"stuffed","16","19","0.094"
"stuffed","12","15","0.136"
"stuffed","12","17","0.150"
"stuffed","16","22","0.112"
"stuffed","14","14","0.093"
"stuffed","14","20","0.127"
"stuffed","12","35","0.305"
"stuffed","16","19","0.094"
"stuffed","10"," 7","0.089"
"stuffed","12","16","0.139"
"stuffed","16","19","0.094"
"stuffed","12","17","0.150"
"stuffed","16","19","0.097"
"stuffed","10"," 6","0.080"
"stuffed","16","16","0.082"
"stuffed","16","18","0.089"
"stuffed","12","17","0.150"
"stuffed","11","13","0.136"
"stuffed","14","24","0.156"
"stuffed","14","24","0.156"
"stuffed","12","15","0.132"
"stuffed","14","17","0.113"
"stuffed","12","16","0.141"
"stuffed","14","24","0.156"
"stuffed","10","12","0.150"
