"crust","size","value","px_inc"
"thin","14","17","0.110"
"thin","16","14","0.070"
"thin","16","17","0.087"
"thin","12"," 8","0.071"
"thin","12","12","0.108"
"thin","12","13","0.118"
"thin","18","17","0.067"
"thin","14","12","0.078"
"thin","14","14","0.089"
"thin","20","34","0.107"
"thin","12","13","0.115"
"thin","14"," 9","0.058"
"thin","16","23","0.112"
"thin","14","18","0.117"
"thin","24","33","0.073"
"thin","16","17","0.085"
"thin","12","13","0.115"
"thin","12","11","0.097"
"thin","12","10","0.084"
"thin","16","20","0.102"
"thin","16","19","0.092"
"thin","16","16","0.080"
"thin","14","13","0.084"
"thin","16","12","0.062"
"thin","18","18","0.072"
"thin","18","20","0.077"
"thin","13","10","0.075"
"thin","12","16","0.146"
"thin","16","23","0.113"
"thin","12","16","0.140"
"thin","12","13","0.114"
"thin","12"," 8","0.071"
"thin","12","27","0.239"
"thin","12","17","0.148"
"thin","12","20","0.178"
"thin","12","10","0.088"
"thin","14","12","0.078"
"thin","14","15","0.100"
"thin","18","17","0.068"
"thin","16","14","0.070"
"thin","18","16","0.065"
"thin","15","13","0.072"
"thin","12","10","0.091"
"thin","14","17","0.110"
"thin","14","15","0.097"
"thin","16","15","0.075"
"thin","12","19","0.170"
"thin","20","28","0.089"
"thin","16","14","0.070"
"thin","10"," 9","0.114"
"thin","16","14","0.069"
"thin","12","30","0.269"
"thin","14","14","0.091"
"thin","10","10","0.127"
"thin","10"," 5","0.070"
"thin","12","11","0.097"
"thin","12"," 7","0.066"
"thin","16","22","0.112"
"thin","14","22","0.140"
"thin","14","10","0.065"
"thin","12","10","0.093"
"thin","16","24","0.117"
"thin"," 8"," 8","0.150"
"thin","30","30","0.042"
"thin","14","17","0.108"
"thin","10"," 6","0.082"
"thin","17","19","0.083"
"thin","16","18","0.089"
"thin","12","13","0.118"
"thin","18","21","0.083"
"thin","16","15","0.073"
"thin","14","12","0.075"
"thin","16","16","0.081"
"thin","14","12","0.078"
"thin","14","13","0.084"
"thin","16","18","0.090"
"thin","10"," 8","0.102"
"thin","12","10","0.088"
"thin","14","12","0.078"
"thin","18","14","0.055"
"thin","14","12","0.075"
"thin","18","18","0.073"
"thin","10","14","0.185"
"thin","14","12","0.081"
"thin","12"," 9","0.079"
"thin","14"," 9","0.058"
"thin","16","14","0.067"
"thin","14","15","0.096"
"thin","14","12","0.078"
"thin","18","17","0.067"
"thin","16","15","0.074"
"thin","15","13","0.072"
"thin","10","13","0.165"
"thin","18","23","0.090"
"thin","14","14","0.091"
"thin","12"," 9","0.079"
"thin","14","10","0.065"
"thin","16","11","0.055"
"thin","12","13","0.117"
"thin","16","19","0.094"
"thin","14","20","0.130"
"thin","14","10","0.063"
"thin","14","14","0.091"
"thin","10","11","0.143"
"thin","16","12","0.061"
"thin","10","15","0.186"
"thin","10","10","0.124"
"thin"," 9"," 8","0.126"
"thin"," 8"," 5","0.099"
"thin","12","10","0.088"
"thin","12","13","0.115"
"thin","18","20","0.079"
"thin","12","10","0.088"
"thin","12","12","0.106"
"thin","12","15","0.137"
"thin","18","18","0.072"
"thin","16","16","0.081"
"thin","18","11","0.043"
"thin","18","18","0.071"
"thin","12","11","0.099"
"thin","10"," 8","0.107"
"thin","14","22","0.143"
"thin","18","27","0.106"
"thin","12","13","0.117"
"thin","20","17","0.054"
"thin","16","14","0.070"
"thin","12","12","0.110"
"thin","10"," 8","0.099"
"thin","10"," 5","0.063"
"thin","12","11","0.102"
"thin","16","17","0.085"
"thin","16","17","0.085"
"thin","14","13","0.084"
"thin","12","16","0.144"
"thin","12","27","0.237"
"thin","10"," 7","0.095"
"thin","12","11","0.096"
"thin","14","14","0.091"
"thin","16","15","0.075"
"thin","14","10","0.065"
"thin","12","20","0.177"
"thin","14","12","0.078"
"thin","16","15","0.074"
"thin","16","13","0.065"
"thin","16","16","0.080"
"thin","10","10","0.121"
"thin","18","17","0.067"
"thin","12","31","0.275"
"thin","20","30","0.095"
"thin","14","13","0.084"
"thin","10"," 8","0.101"
"thin","14","13","0.084"
"thin","14","13","0.086"
"thin","12","11","0.097"
"thin","16","14","0.068"
"thin","10"," 8","0.102"
"thin","18","22","0.088"
"thin","14","13","0.087"
"thin","18","15","0.059"
"thin","14","11","0.070"
"thin","12","11","0.097"
"thin","18","18","0.073"
"thin","10","15","0.190"
"thin","12","11","0.097"
"thin","16","15","0.076"
"thin","10","15","0.190"
"thin","16","14","0.070"
"thin","18","33","0.129"
"thin","18","14","0.057"
"thin","12"," 9","0.079"
"thin","20","20","0.064"
"thin","14","11","0.070"
"thin","12","10","0.089"
"thin","12","16","0.141"
"thin","12","16","0.137"
"thin","18","21","0.082"
"thin","16","20","0.099"
"thin","14","11","0.071"
"thin","16","16","0.080"
"thin","10","14","0.185"
"thin","10"," 9","0.114"
"thin","16","15","0.075"
"thin","14","21","0.140"
"thin","14","16","0.101"
"thin","12","10","0.088"
"thin","10"," 9","0.115"
"thin","18","18","0.072"
"thin","10","11","0.140"
"thin","20","19","0.062"
"thin","14","19","0.123"
"thin","28","38","0.062"
"thin","16","14","0.072"
"thin","16","16","0.079"
"thin","18","18","0.069"
"thin","14","12","0.078"
"thin","14","13","0.087"
"thin","12"," 9","0.079"
"thin","14","18","0.119"
"thin","18","11","0.043"
"thin","12","13","0.119"
"thin","14","16","0.104"
"thin","18","12","0.047"
"thin"," 8","25","0.497"
"thin","16","16","0.078"
"thin"," 8","14","0.278"
"thin"," 9"," 6","0.086"
"thin","14","15","0.097"
"thin","16","16","0.082"
"thin","12"," 8","0.071"
"thin","12","18","0.159"
"thin","14","25","0.164"
"thin","14","13","0.082"
"thin","16","20","0.097"
"thin","18","19","0.075"
"thin","16","23","0.114"
"thin","12","12","0.110"
"thin","24","39","0.086"
"thin","10"," 5","0.064"
"thin","18","24","0.092"
"thin","14","14","0.093"
"thin","14","18","0.120"
"thin","10"," 8","0.102"
"thin","10"," 7","0.089"
"thin","14"," 8","0.052"
"thin","14","33","0.214"
"thin","10","14","0.176"
"thin"," 8","10","0.199"
"thin","14","22","0.141"
"thin","12","11","0.097"
"thin","18","18","0.071"
"thin","16","20","0.098"
"thin","16","18","0.088"
"thin","12","18","0.160"
"thin","16","17","0.084"
"thin","16","29","0.144"
"thin","12","11","0.097"
"thin","10"," 7","0.089"
"thin","10"," 7","0.089"
"thin","12","12","0.102"
"thin","14","16","0.104"
"thin","14","20","0.130"
"thin","18","18","0.071"
"thin","10"," 9","0.114"
"thin","12","10","0.092"
"thin","14"," 1","0.008"
"thin","16","35","0.176"
"thin","16","13","0.065"
"thin","14","34","0.221"
"thin","16","14","0.070"
"thin","14","24","0.153"
"thin","14","14","0.090"
"thin","14","16","0.104"
"thin","10"," 7","0.089"
"thin","12","11","0.099"
"thin","16","25","0.123"
"thin"," 8"," 6","0.119"
"thin","12","10","0.088"
"thin","10","13","0.166"
"thin","10","22","0.274"
"thin","14","10","0.065"
"thin"," 8","17","0.344"
"thin","12","18","0.158"
"thin","16","10","0.050"
"thin","18","30","0.120"
"thin","12","13","0.118"
"thin","13","10","0.075"
"thin","14"," 8","0.052"
"thin","12","15","0.136"
"thin","12","10","0.093"
"thin","18","24","0.094"
"thin","18","18","0.071"
"thin","17","23","0.101"
"thin","14","14","0.092"
"thin","16","17","0.083"
"thin","16","13","0.065"
"thin","10","11","0.140"
"thin","14","14","0.091"
"thin","18","14","0.055"
"thin","18","22","0.084"
"thin","14","20","0.132"
"thin","14","14","0.091"
"thin","12","30","0.269"
"thin","12","11","0.097"
"thin","18","22","0.087"
"thin","16","18","0.089"
"thin","20","25","0.080"
"thin","16","18","0.089"
"thin","14","17","0.112"
"thin","10"," 9","0.114"
"thin","16","16","0.082"
"thin","16","15","0.075"
"thin","18","18","0.070"
"thin","14","13","0.084"
"thin","14","11","0.071"
"thin","12","14","0.123"
"thin","14","13","0.084"
"thin","16"," 2","0.008"
"thin","12","17","0.150"
"thin","12","11","0.093"
"thin","14"," 9","0.058"
"thin","18","21","0.083"
"thin","12"," 9","0.077"
"thin","18","18","0.071"
"thin","16","20","0.099"
"thin","16","20","0.100"
"thin","18","20","0.078"
"thin","12","22","0.194"
"thin","10"," 8","0.101"
"thin","16","13","0.065"
"thin","14","11","0.074"
"thin","16","15","0.074"
"thin","16","15","0.076"
"thin","16","19","0.095"
"thin","16","12","0.060"
"thin","14","10","0.068"
"thin","18","14","0.057"
"thin","18","15","0.059"
"thin","10"," 9","0.114"
"thin","10","18","0.229"
"thin","12","12","0.106"
"thin","14","14","0.091"
"thin","18","13","0.051"
"thin","14","12","0.078"
"thin","10"," 7","0.089"
"thin","10"," 9","0.114"
"thin","12","11","0.097"
"thin","10"," 7","0.089"
"thin","16","15","0.075"
"thin","10","10","0.127"
"thin","12"," 9","0.079"
"thin","20","15","0.048"
"thin","18","29","0.114"
"thin","10","12","0.153"
"thin","17","13","0.057"
"thin","12","16","0.141"
"thin","20","15","0.048"
"thin","14","12","0.075"
"thin","14","13","0.084"
"thin","20","29","0.092"
"thin","10"," 9","0.114"
"thin","14","13","0.088"
"thin","16","16","0.082"
"thin","12","12","0.106"
"thin","28","25","0.041"
"thin","20","16","0.052"
"thin","16","11","0.053"
