year,amt
1959-01-01,177.765
1960-01-01,180.639
1961-01-01,183.619
1962-01-01,186.475
1963-01-01,189.189
1964-01-01,191.82
1965-01-01,194.25
1966-01-01,196.508
1967-01-01,198.664
1968-01-01,200.664
1969-01-01,202.649
1970-01-01,204.982
1971-01-01,207.589
1972-01-01,209.838
1973-01-01,211.857
1974-01-01,213.815
1975-01-01,215.891
1976-01-01,217.999
1977-01-01,220.193
1978-01-01,222.525
1979-01-01,225.003
1980-01-01,227.622
1981-01-01,229.916
1982-01-01,232.128
1983-01-01,234.247
1984-01-01,236.307
1985-01-01,238.416
1986-01-01,240.593
1987-01-01,242.751
1988-01-01,244.968
1989-01-01,247.286
1990-01-01,250.047
1991-01-01,253.392
1992-01-01,256.777
1993-01-01,260.146
1994-01-01,263.325
1995-01-01,266.458
1996-01-01,269.581
1997-01-01,272.822
1998-01-01,276.022
1999-01-01,279.195
2000-01-01,282.296
2001-01-01,285.216
2002-01-01,288.019
2003-01-01,290.733
2004-01-01,293.389
2005-01-01,296.115
2006-01-01,298.93
2007-01-01,301.903
2008-01-01,304.718
2009-01-01,307.374
2010-01-01,309.733
2011-01-01,311.941
2012-01-01,314.154
2013-01-01,316.373
