date,Total,Construction,Manufacturing,Retail trade,Professional and business services,Leisure and hospitality,Government
12/1/2000,57.95688847,28.02690583,56.58362989,67.14628297,50.68493151,70.02237136,51.95729537
1/1/2001,55.6012333,35.66433566,49.83164983,54.50399088,48.03017603,72.08333333,58.05471125
2/1/2001,61.19011976,36.44251627,45.99236641,76.50834403,55.86708204,67.49156355,57.14285714
3/1/2001,54.1558666,40.51896208,42.55319149,58.04661487,49.17463076,61.19096509,53.46534653
4/1/2001,56.84721972,48.43373494,39.89266547,66.66666667,58.68644068,57.38963532,51.42857143
5/1/2001,56.37559372,36.71171171,38.76811594,63.96181384,49.16151809,67.55260244,54.24242424
6/1/2001,55.80827068,35.29411765,36.58088235,66.46848989,52.99586777,63.85542169,49.6124031
7/1/2001,55.41830432,36.58536585,35.02024291,65.55142503,54.74006116,61.92468619,53.0075188
8/1/2001,55.56846794,34.19203747,38.78787879,66.20305981,50.15136226,67.41573034,48.94259819
9/1/2001,53.52004604,33.95348837,37.68736617,62.5974026,47.54262788,61.86528497,52.0754717
10/1/2001,52.41074715,33.1838565,35.29411765,65.27249683,52.20883534,61.05032823,44.18604651
11/1/2001,52.02808112,32.76955603,36.4389234,64.36781609,53.44467641,56.94603904,57.14285714
12/1/2001,53.79864114,30.8045977,35.24229075,65.66757493,50.67567568,60.17478152,55.98705502
1/1/2002,55.90972085,39.09952607,37.65957447,62.66666667,55.39714868,71.48288973,51.37931034
2/1/2002,53.77583466,37.13646532,41.18942731,59.62099125,52.45901639,63.52941176,53.08641975
3/1/2002,54.39039798,34.06862745,43.58974359,63.27769347,53.10907238,69.87012987,48.87218045
4/1/2002,53.97614314,40.0462963,44.07158837,55.06241331,53.58324146,64.5905421,53.35365854
5/1/2002,53.62699535,35.22727273,43.01310044,53.27868852,52.50255363,66.4556962,48.04270463
6/1/2002,53.53305785,30.28846154,45,64.82758621,48.95591647,64.21319797,50.16835017
7/1/2002,50.54587244,36.26609442,43.01552106,57.95297372,44.82421875,56.35359116,43.84858044
8/1/2002,54.2833437,38.66995074,43.82022472,57.0441989,54.96009122,62.0474407,48.29931973
9/1/2002,53.42270973,39.13043478,43.0523918,58.2278481,52.07900208,65.52598226,46.77419355
10/1/2002,53.62623502,32.87671233,39.30232558,57.29013255,50.88082902,65.71428571,45.0310559
11/1/2002,52.2110972,27.67624021,39.9543379,61.81818182,50.15673981,60.20408163,49.08536585
12/1/2002,52.43637798,32.37250554,36.21495327,58.84892086,50.67628494,61.50943396,49.17491749
1/1/2003,51.06557377,32.64367816,40.46511628,55.01432665,49.34354486,60,45.91836735
2/1/2003,52.06303131,35.26448363,38.33718245,57.64075067,48.52135816,63.68159204,44.66666667
3/1/2003,51.68299957,31.06796117,39.1959799,56.73352436,49.5818399,59.62962963,46.12794613
4/1/2003,50.67873303,22.69326683,38.58823529,60.86956522,47.34513274,58.60805861,41.80064309
5/1/2003,50.04317789,35.73085847,48.10810811,61.13671275,43.27784891,50.91954023,45.11784512
6/1/2003,49.09511785,36.19489559,41,53.46820809,45.02262443,64.84687084,44.44444444
7/1/2003,50.12892136,33.56643357,41.55251142,59.18367347,45.3196347,70.2970297,46.62162162
8/1/2003,49.21075085,32.41525424,45.65217391,55.38922156,40.61470911,62.99212598,43.4375
9/1/2003,53.29160371,30.87248322,46.59400545,65.8105939,44.87804878,61.88055909,44.63087248
10/1/2003,51.99152542,35.62653563,46.04904632,57.33695652,43.15789474,63.72670807,49.43396226
11/1/2003,52.6452732,37.78801843,46.85863874,53.70101597,44.24320828,61.2745098,42.47491639
12/1/2003,51.17488043,45.26066351,50.25773196,52.21112696,47.92682927,54.18604651,44.62540717
