date,q1,q2,q3,q4,q5,all,81_90,91_95,95_99,t1
1979,100,100,100,100,100,100,100,100,100,100
1980,97.48427673,96.66666667,96.71361502,96.94793537,97.45158002,97.27463312,97.16312057,97.65258216,96.16985845,98.48078642
1981,94.96855346,95.33333333,95.5399061,97.3070018,97.45158002,97.27463312,96.17021277,97.41784038,95.25395504,102.2937146
1982,93.71069182,95,95.30516432,98.38420108,101.4271152,99.58071279,98.58156028,99.29577465,99.25062448,113.4346142
1983,90.56603774,91.66666667,94.36619718,98.20466786,105.9123344,100.4192872,100.4255319,102.9342723,103.6636137,124.3967828
1984,93.08176101,97.33333333,99.29577465,103.2315978,114.4750255,105.6603774,106.5248227,110.915493,112.3230641,137.2058385
1985,93.71069182,96.33333333,99.29577465,103.2315978,116.0040775,107.1278826,105.5319149,109.8591549,113.4887594,148.3765267
1986,94.96855346,98.33333333,101.6431925,106.8222621,130.6829766,114.6750524,110.6382979,115.1408451,124.2298085,197.9445934
1987,95.59748428,95.66666667,101.8779343,107.8994614,120.4892966,110.4821803,111.6312057,116.0798122,119.3172356,148.1382186
1988,98.11320755,96.66666667,102.8169014,108.2585278,129.2558614,114.6750524,112.7659574,117.9577465,124.4796003,189.0974084
1989,102.5157233,99,103.9906103,109.6947935,129.459735,116.1425577,114.6099291,120.5399061,126.9775187,178.1054513
1990,106.2893082,102,104.6948357,108.7971275,126.7074414,115.7232704,113.3333333,118.3098592,123.8134888,172.5945785
1991,108.1761006,101,103.7558685,108.2585278,122.0183486,113.4171908,111.9148936,117.1361502,121.1490425,152.6064939
1992,109.4339623,102,104.4600939,109.5152603,127.0132518,116.5618449,113.6170213,119.7183099,125.3955037,170.7476914
1993,111.3207547,103.6666667,105.399061,110.4129264,125.2803262,116.3522013,115.035461,120.1877934,124.7293922,155.9130176
1994,113.836478,104.3333333,105.8685446,111.8491921,126.8093782,117.4004193,116.5957447,121.4788732,126.8109908,157.4322312
1995,118.2389937,109.3333333,109.6244131,114.1831239,132.4159021,122.0125786,119.858156,124.6478873,132.805995,174.1733691
1996,118.2389937,110.3333333,111.5023474,116.8761221,139.4495413,126.2054507,122.4113475,129.4600939,137.8018318,192.8507596
1997,120.1257862,112.6666667,113.1455399,119.3895871,148.1141692,131.4465409,124.822695,133.8028169,146.9608659,226.0947274
1998,125.1572327,118,117.1361502,124.5960503,159.0214067,138.7840671,130.212766,139.6713615,155.5370525,262.4664879
1999,127.672956,121.6666667,120.8920188,128.3662478,168.3995923,145.0733753,135.035461,145.1877934,161.8651124,285.4929997
2000,123.8993711,121,121.3615023,130.5206463,176.7584098,148.427673,138.0141844,149.7652582,166.6111574,315.4602324
2001,129.5597484,125.6666667,126.2910798,131.956912,163.9143731,144.8637317,138.7234043,147.5352113,160.1165695,252.4873399
2002,127.0440252,123.6666667,124.6478873,130.8797127,157.6962283,140.6708595,138.4397163,146.1267606,155.1207327,224.2478403
2003,127.0440252,124.6666667,126.056338,133.9317774,165.3414883,144.6540881,141.9858156,151.1737089,162.7810158,244.0571939
2004,130.1886792,128.6666667,130.7511737,138.7791741,179.8165138,153.0398323,147.5177305,157.0422535,172.2731057,293.0592791
2005,134.591195,131.6666667,132.629108,140.9335727,193.9857288,160.5870021,150.6382979,163.2629108,184.6794338,353.3512064
2006,138.9937107,133,133.8028169,143.4470377,202.4464832,165.8280922,154.1843972,167.2535211,190.1748543,384.8376527
2007,144.6540881,137.6666667,138.028169,147.3967684,212.1304791,171.6981132,157.3049645,172.4178404,198.5845129,414.0005958
2008,147.7987421,137.3333333,137.7934272,146.8581688,194.5973496,163.1027254,157.0212766,168.1924883,184.7626978,338.3973786
2009,148.427673,136.6666667,136.1502347,145.0628366,177.8797146,155.5555556,154.6099291,165.1408451,174.7710241,262.0792374
2010,149.0566038,136.6666667,135.915493,144.7037702,185.3211009,158.2809224,154.1843972,167.1361502,179.1840133,301.7873101
