date,All,Total private,Construction,Manufacturing,"Trade, transportation, and utilities",Retail trade,Professional and business services,Education and health services,Health care and social assistance,Leisure and hospitality,"Arts, entertainment, and recreation",Accommodation and food services,Government,State and local
2000-12-01,2.3,2.6,1.8,1.9,2.6,3.6,3.1,2,2.3,5.2,2.3,5.7,0.7,0.7
2001-01-01,2.5,2.7,2.2,1.7,2.6,3.1,3.4,1.8,2,5.8,2.3,6.4,0.9,0.9
2001-02-01,2.5,2.8,2.5,1.4,3.2,3.9,3.2,2.1,2.3,5,2.9,5.4,0.8,0.9
2001-03-01,2.4,2.7,3,1.4,2.8,3.4,3.4,2.1,2.3,5,2.7,5.4,0.8,0.8
2001-04-01,2.4,2.7,2.9,1.3,3,3.8,3.3,2,2.2,5,3.6,5.2,0.8,0.8
2001-05-01,2.3,2.6,2.4,1.3,2.9,3.5,3.4,2,2.1,5.1,3.5,5.3,0.9,0.9
2001-06-01,2.2,2.6,2.4,1.2,2.9,3.7,3.1,2,2,4.8,3.3,5.1,0.6,0.6
2001-07-01,2.2,2.5,2.4,1.1,2.7,3.5,3.3,1.8,1.9,4.9,2.9,5.2,0.7,0.7
2001-08-01,2.2,2.4,2.1,1.2,2.5,3.1,3,1.7,1.9,5,3.9,5.2,0.8,0.8
2001-09-01,2.1,2.4,2.1,1.1,2.5,3.2,2.9,1.9,2.1,4.9,3.6,5.2,0.7,0.7
2001-10-01,2.2,2.5,2.2,1.2,2.6,3.4,3.2,1.7,1.9,4.6,3.4,4.9,0.6,0.6
2001-11-01,2,2.3,2.3,1.1,2.3,3,3.2,1.7,1.9,4.1,3.2,4.3,0.8,0.7
2001-12-01,2,2.2,2,1,2.5,3.2,2.8,1.8,1.9,4,3.5,4.1,0.8,0.8
2002-01-01,2.2,2.4,2.4,1.1,2.5,3.1,3.4,1.7,1.8,4.7,3.8,4.8,0.7,0.7
2002-02-01,2.1,2.3,2.5,1.2,2.2,2.7,3.2,1.6,1.8,4.5,3.7,4.7,0.8,0.8
2002-03-01,2,2.3,2.1,1.2,2.2,2.8,3.3,1.4,1.5,4.5,3.6,4.7,0.6,0.6
2002-04-01,2.1,2.3,2.6,1.3,2.3,2.6,3,1.7,1.8,4.7,3.6,4.9,0.8,0.8
2002-05-01,2,2.3,2.3,1.3,2.1,2.6,3.2,1.7,1.9,4.4,3.6,4.5,0.6,0.6
2002-06-01,2,2.2,1.9,1.3,2.4,3.1,2.6,1.6,1.8,4.3,3,4.5,0.7,0.7
