date,All,Construction,Manufacturing,Retail,Professional,Leisure,Government
1/1/05,2.1,2.5,1.3,3,2.8,4.6,0.6
2/1/05,2,2.4,1.3,2.8,2.9,4,0.7
3/1/05,2.1,2.8,1.3,3.2,2.8,4.2,0.7
4/1/05,2.1,2.2,1.3,3.1,3.1,4.1,0.6
5/1/05,2.1,2.5,1.2,3.3,2.9,4.4,0.7
6/1/05,2.1,2.3,1.4,3.1,2.8,4.1,0.7
7/1/05,2.1,2.4,1.4,3.1,2.4,4.7,0.5
8/1/05,2.2,2.7,1.4,3.3,2.8,4.7,0.7
9/1/05,2.3,3.2,1.5,3,3.1,5,0.7
10/1/05,2.2,3,1.6,3.1,2.4,5.4,0.8
11/1/05,2.2,2.6,1.4,3.2,2.4,4.9,0.7
12/1/05,2.1,3,1.3,3.4,2.4,4.4,0.7
1/1/06,2.1,2.8,1.3,3.1,2.6,5.1,0.7
2/1/06,2.2,2.6,1.4,3.3,2.6,5,0.7
3/1/06,2.2,2.6,1.5,3.4,2.8,4.8,0.7
4/1/06,2,2.6,1.3,3.3,2.8,4.1,0.7
5/1/06,2.2,2.7,1.6,3.3,2.8,4.6,0.8
6/1/06,2.2,2.6,1.3,3.1,2.7,4.9,0.8
7/1/06,2.2,2.4,1.5,3.4,2.6,4.4,0.7
8/1/06,2.2,2.2,1.4,3.1,2.7,4.5,0.8
9/1/06,2.1,2.2,1.3,3,3.1,4.5,0.7
10/1/06,2.2,2.2,1.4,3,3,4.6,0.7
11/1/06,2.3,2.1,1.6,3.5,3,4.9,0.8
12/1/06,2.3,2.2,1.8,3.2,3.1,5,0.8
1/1/07,2.2,2.1,1.7,3,3,4.6,0.7
2/1/07,2.2,1.9,1.5,3.2,2.9,4.8,0.7
3/1/07,2.2,1.9,1.6,3,2.9,4.6,0.8
4/1/07,2.1,2,1.5,3.1,2.6,4.7,0.8
5/1/07,2.2,2.1,1.5,3.1,2.6,4.6,0.8
6/1/07,2.1,1.8,1.4,3,2.6,4.7,0.7
7/1/07,2.1,2.4,1.4,2.8,2.7,4.8,0.7
8/1/07,2.1,2.2,1.5,2.9,2.6,4.7,0.7
9/1/07,1.9,1.8,1.4,2.9,2.5,3.5,0.7
10/1/07,2.1,2.1,1.4,2.9,2.6,4.6,0.7
11/1/07,2,2.1,1.4,2.6,2.6,4.9,0.7
12/1/07,2.1,2.1,1.5,3.3,2.4,4.7,0.6
1/1/08,2.1,1.9,1.4,3.1,2.5,4.5,0.6
2/1/08,2.1,2.2,1.4,2.8,2.7,4.5,0.6
3/1/08,1.9,1.5,1.4,2.6,2.2,4.4,0.6
4/1/08,2.1,2.3,1.3,2.9,3,4.4,0.7
